BI00A1200    7360T51816     202206097289-3342-90             HOUSING FEMALE ASS'Y     CCN000002400000000000FY00000000020210901000000000NNEQ0820211201191621    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00A1200    7360T51816     202206167289-3342-90             HOUSING FEMALE ASS'Y     CCN000002400000000000FY00000000020210901000000000NNEQ0820211201191621    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00A1200    7360T51816     202206237289-3342-90             HOUSING FEMALE ASS'Y     CCN000002400000000000FY00000000020210901000000000NNEQ0820211201191621    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00A1200    7360T51816     202206307289-3342-90             HOUSING FEMALE ASS'Y     CCN000002400000000000FY00000000020210901000000000NNEQ0820211201191621    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00A1200    7360T51817     202207147289-3342-90             HOUSING FEMALE ASS'Y     CCN000002400000000000FY00000000020210901000000000NNEQ0820211201191938    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00A1200    7360T51817     202207217289-3342-90             HOUSING FEMALE ASS'Y     CCN000002400000000000FY00000000020210901000000000NNEQ0820211201191938    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00A1200    7360T51817     202207287289-3342-90             HOUSING FEMALE ASS'Y     CCN000002400000000000FY00000000020210901000000000NNEQ0820211201191938    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00A1200    7360T51817     202208047289-3342-90             HOUSING FEMALE ASS'Y     CCN000002400000000000FY00000000020210901000000000NNEQ0820211201191938    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00A1200    7360T51817     202208117289-3342-90             HOUSING FEMALE ASS'Y     CCN000002400000000000FY00000000020210901000000000NNEQ0820211201191938    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00A1200    7360T51817     202208187289-3342-90             HOUSING FEMALE ASS'Y     CCN000002400000000000FY00000000020210901000000000NNEQ0820211201191938    1N0N  0000024000000068640000090141200    YCYC    005500360039
