BI00B32DA    SBT2206A       202205057158-3006-90             RUBBER STOPPER           CCN000200000000200000FN00000000020220601000200000NNM   20220330131242    1C0C  00002000000000330600000386032DA    GBYIPLGB002700430014
BI00B32DA    SBT2206        202204287158-3009-60             RUBBER STOPPER           CCN000160000000160000FN00000000020220601000160000NNM   20220330131242    1C0C  00002000000000338000000386232DA    GBYIPLGB002700430014
BI00B32DA    SBT2206A       202205057158-3009-60             RUBBER STOPPER           CCN000160000000160000FN00000000020220601000160000NNM   20220330131242    1C0C  00002000000000338000000386232DA    GBYIPLGB002700430014
BI00B32DA    SBT2206        202204287158-3166-60             WIRE SEAL                CCN000100000000120000FN00000000020220601000120000NNM   20220330131242    1C0C  00004000000000104000000152432DA    GBYIPLGB002700430014
BI00B32DA    SBT2206A       202205057158-3166-60             WIRE SEAL                CCN000100000000120000FN00000000020220601000120000NNM   20220330131242    1C0C  00004000000000104000000152432DA    GBYIPLGB002700430014
BI00B32DA    SBT2206        202204287158-3167-80             WIRE SEAL                CCN000010000000020000FN00000000020220601000020000NNM   20220330131242    1C0C  00002000000000048000000109032DA    GBYIPLGB002700430014
BI00B32DA    SBT2206A       202205057158-3167-80             WIRE SEAL                CCN000010000000020000FN00000000020220601000020000NNM   20220330131242    1C0C  00002000000000048000000109032DA    GBYIPLGB002700430014
BI00B32DA    SBT2206        202204287172-5540-80             SEALED WIRE SEAL         CCN000020000000020000FN00000000020220601000020000NNM   20220330131242    1C0C  00002000000000186000000234432DA    GBYIPLGB004300270014
BI00B32DA    SBT2206A       202205057172-5540-80             SEALED WIRE SEAL         CCN000020000000020000FN00000000020220601000020000NNM   20220330131242    1C0C  00002000000000186000000234432DA    GBYIPLGB004300270014
BI00B32DA    SBT2206        202204287196-0805-02             TERMINAL FEMALE          CCN000022500000022500FN00000000020220601000022500NNM   20220330131242    4P0P  00002250000000558000000843232DA    GBYIPLGB006400630015
BI00B32DA    SBT2206A       202205057196-0805-02             TERMINAL FEMALE          CCN000022500000022500FN00000000020220601000022500NNM   20220330131242    4P0P  00002250000000558000000843232DA    GBYIPLGB006400630015
BI00B32DA    SBT2206        202204287283-5830-30             CONNECTOR                CCN000009000000012000FN00000000020220601000012000NNM   20220330131242    1N0N  00000600000000954000001104032DA    GBYIPLGB005500360039
BI00B32DA    SBT2206A       202205057283-5830-30             CONNECTOR                CCN000009000000012000FN00000000020220601000012000NNM   20220330131242    1N0N  00000600000000954000001104032DA    GBYIPLGB005500360039
BI00B32DA    SBT2206        202204287288-3329-30             HOUSING MALE             CCN000012750000013500FN00000000020220601000013500NNM   20220330131242    4N0N  00000150000000866100001011132DA    GBYIPLGB005400370024
BI00B32DA    SBT2206A       202205057288-3329-30             HOUSING MALE             CCN000012750000013500FN00000000020220601000013500NNM   20220330131242    4N0N  00000150000000866100001011132DA    GBYIPLGB005400370024
BI00B32DA    SBT2206        202204287288-3331-30             HOUSING MALE             CCN000011250000012000FN00000000020220601000012000NNM   20220330131242    4N0N  00000150000000866000001010932DA    GBYIPLGB005400370024
BI00B32DA    SBT2206A       202205057288-3331-30             HOUSING MALE             CCN000011250000012000FN00000000020220601000012000NNM   20220330131242    4N0N  00000150000000866000001010932DA    GBYIPLGB005400370024
BI00B32DA    SBT2206        202204287288-3336-30             HOUSING MALE             CCN000016500000016500FN00000000020220601000016500NNM   20220330131242    4N0N  00000150000000867000001012032DA    GBYIPLGB005400370024
BI00B32DA    SBT2206A       202205057288-3336-30             HOUSING MALE             CCN000016500000016500FN00000000020220601000016500NNM   20220330131242    4N0N  00000150000000867000001012032DA    GBYIPLGB005400370024
BI00B32DA    SBT2206        202204287288-3337-30             HOUSING MALE             CCN000012750000013500FN00000000020220601000013500NNM   20220330131242    4N0N  00000150000000867000001012032DA    GBYIPLGB005400370024
BI00B32DA    SBT2206A       202205057288-3337-30             HOUSING MALE             CCN000012750000013500FN00000000020220601000013500NNM   20220330131242    4N0N  00000150000000867000001012032DA    GBYIPLGB005400370024
