BI00B32DG    RP2074         202206307114-5748-02             TERMINAL                 CCN000012000000012000FN00000000020220701000012000NNM   20220428121351    4P0P  00001200000000444000000737632DG    BFSAIBF 006400630015
BI00B32DG    RP2071         202206097114-5753-02             TERMINAL                 CCN000108000000108000FN00000000020220701000108000NNM   20220428121351    4P0P  00002700000000847800001141432DG    BFSAIBF 006400630015
BI00B32DG    RP2072         202206167114-5753-02             TERMINAL                 CCN000054000000054000FN00000000020220701000054000NNM   20220428121351    4P0P  00002700000000847800001141432DG    BFSAIBF 006400630015
BI00B32DG    RP2073         202206237114-5753-02             TERMINAL                 CCN000054000000054000FN00000000020220701000054000NNM   20220428121351    4P0P  00002700000000847800001141432DG    BFSAIBF 006400630015
BI00B32DG    RP2071         202206097116-4032                TERMINAL                 CCN000024000000024000FN00000000020220701000024000NNM   20220428121351    4P0P  00000600000000532800000818032DG    BFSAIBF 006400630015
BI00B32DG    RP2072         202206167116-4032                TERMINAL                 CCN000012000000012000FN00000000020220701000012000NNM   20220428121351    4P0P  00000600000000532800000818032DG    BFSAIBF 006400630015
BI00B32DG    RP2073         202206237116-4032                TERMINAL                 CCN000012000000012000FN00000000020220701000012000NNM   20220428121351    4P0P  00000600000000532800000818032DG    BFSAIBF 006400630015
BI00B32DG    RP2074         202206307116-4032                TERMINAL                 CCN000012000000012000FN00000000020220701000012000NNM   20220428121351    4P0P  00000600000000532800000818032DG    BFSAIBF 006400630015
BI00B32DG    RP2071         202206097116-4231-02             TERMINAL                 CCN000026000000026000FN00000000020220701000026000NNM   20220428121351    4P0P  00002600000000683800001012532DG    BFSAIBF 006400630017
BI00B32DG    RP2072         202206167116-4231-02             TERMINAL                 CCN000026000000026000FN00000000020220701000026000NNM   20220428121351    4P0P  00002600000000683800001012532DG    BFSAIBF 006400630017
BI00B32DG    RP2071         202206097116-4486-02             TERMINAL                 CCN000336000000336000FN00000000020220701000336000NNM   20220428121351    4P0P  00002800000000666400000995132DG    BFSAIBF 006400630017
BI00B32DG    RP2072         202206167116-4486-02             TERMINAL                 CCN000168000000168000FN00000000020220701000168000NNM   20220428121351    4P0P  00002800000000666400000995132DG    BFSAIBF 006400630017
BI00B32DG    RP2073         202206237116-4486-02             TERMINAL                 CCN000168000000168000FN00000000020220701000168000NNM   20220428121351    4P0P  00002800000000666400000995132DG    BFSAIBF 006400630017
BI00B32DG    RP2074         202206307116-4486-02             TERMINAL                 CCN000112000000112000FN00000000020220701000112000NNM   20220428121351    4P0P  00002800000000666400000995132DG    BFSAIBF 006400630017
BI00B32DG    RP2071         202206097116-5035-02             TERMINAL                 CCN000075000000075000FN00000000020220701000075000NNM   20220428121351    4P0P  00001500000000543000000828232DG    BFSAIBF 006400630015
BI00B32DG    RP2072         202206167116-5035-02             TERMINAL                 CCN000045000000045000FN00000000020220701000045000NNM   20220428121351    4P0P  00001500000000543000000828232DG    BFSAIBF 006400630015
BI00B32DG    RP2073         202206237116-5035-02             TERMINAL                 CCN000045000000045000FN00000000020220701000045000NNM   20220428121351    4P0P  00001500000000543000000828232DG    BFSAIBF 006400630015
BI00B32DG    RP2071         202206097116-5036-02             TERMINAL                 CCN000013500000013500FN00000000020220701000013500NNM   20220428121351    4P0P  00001350000000618300001042232DG    BFSAIBF 006400630015
BI00B32DG    RP2071         202206097116-5041-02             TERMINAL                 CCN000015000000015000FN00000000020220701000015000NNM   20220428121351    4P0P  00001500000000583500000868732DG    BFSAIBF 006400630015
BI00B32DG    RP2072         202206167116-5041-02             TERMINAL                 CCN000015000000015000FN00000000020220701000015000NNM   20220428121351    4P0P  00001500000000583500000868732DG    BFSAIBF 006400630015
BI00B32DG    RP2071         202206097116-5042-02             TERMINAL                 CCN000148500000148500FN00000000020220701000148500NNM   20220428121351    4P0P  00001350000000560300000845532DG    BFSAIBF 006400630015
BI00B32DG    RP2072         202206167116-5042-02             TERMINAL                 CCN000081000000081000FN00000000020220701000081000NNM   20220428121351    4P0P  00001350000000560300000845532DG    BFSAIBF 006400630015
BI00B32DG    RP2073         202206237116-5042-02             TERMINAL                 CCN000081000000081000FN00000000020220701000081000NNM   20220428121351    4P0P  00001350000000560300000845532DG    BFSAIBF 006400630015
BI00B32DG    RP2074         202206307116-5042-02             TERMINAL                 CCN000040500000040500FN00000000020220701000040500NNM   20220428121351    4P0P  00001350000000560300000845532DG    BFSAIBF 006400630015
BI00B32DG    RP2071         202206097116-5044-02             TERMINAL                 CCN000144000000144000FN00000000020220701000144000NNM   20220428121351    4P0P  00001600000000641600000986332DG    BFSAIBF 006400630017
BI00B32DG    RP2072         202206167116-5044-02             TERMINAL                 CCN000080000000080000FN00000000020220701000080000NNM   20220428121351    4P0P  00001600000000641600000986332DG    BFSAIBF 006400630017
BI00B32DG    RP2073         202206237116-5044-02             TERMINAL                 CCN000080000000080000FN00000000020220701000080000NNM   20220428121351    4P0P  00001600000000641600000986332DG    BFSAIBF 006400630017
