BI00B32Q8    EW22074 MW     20220615180D0204130              AVSSH 1.25F B            CCN000030400000030400FN00000000020220701000030400NNM   20220416203414    1W    00000080000001458000000000032Q8    EMEMI   000000000000MI126028
BI00B32Q8    EW22074 MW     20220615180D0204150              AVSSH 1.25F R            CCN000008800000008800FN00000000020220701000008800NNM   20220416203414    1W    00000080000001458000000000032Q8    EMEMI   000000000000MI126029
BI00B32Q8    EW22073 MW     20220608180D0204140              AVSSH 1.25F W            CCN000024800000024800FN00000000020220701000024800NNM   20220416203414    1W    00000080000001458000000000032Q8    EMEMI   000000000000MI425026
BI00B32Q8    EW22074 MW     20220615180D0204140              AVSSH 1.25F W            CCN000028800000028800FN00000000020220701000028800NNM   20220416203414    1W    00000080000001458000000000032Q8    EMEMI   000000000000MI126030
BI00B32Q8    EW22074 MW     202206151801R704130              CIVUS 1.25 B             CCN000023000000023000FN00000000020220701000023000NNM   20220416203414    1W    00000100000001228000000000032Q8    EMEMI   000000000000MI126045
BI00B32Q8    EW22071 MW     202205251801R704180              CIVUS 1.25 BR            CCN000017000000017000FN00000000020220701000017000NNM   20220416203414    1W    00000100000001228000000000032Q8    EMEMI   000000000000MI225014
BI00B32Q8    EW22072 MW     202206011801R704180              CIVUS 1.25 BR            CCN000023000000023000FN00000000020220701000023000NNM   20220416203414    1W    00000100000001228000000000032Q8    EMEMI   000000000000MI325025
BI00B32Q8    EW22073 MW     202206081801R704180              CIVUS 1.25 BR            CCN000028000000028000FN00000000020220701000028000NNM   20220416203414    1W    00000100000001228000000000032Q8    EMEMI   000000000000MI425039
BI00B32Q8    EW22074 MW     202206151801R704180              CIVUS 1.25 BR            CCN000023000000023000FN00000000020220701000023000NNM   20220416203414    1W    00000100000001228000000000032Q8    EMEMI   000000000000MI126046
BI00B32Q8    EW22073 MW     202206081801R704160              CIVUS 1.25 G             CCN000016000000016000FN00000000020220701000016000NNM   20220416203414    1W    00000100000001228000000000032Q8    EMEMI   000000000000MI425040
BI00B32Q8    EW22074 MW     202206151801R704160              CIVUS 1.25 G             CCN000018000000018000FN00000000020220701000018000NNM   20220416203414    1W    00000100000001228000000000032Q8    EMEMI   000000000000MI126047
BI00B32Q8    EW22072 MW     202206011801R704190              CIVUS 1.25 L             CCN000015000000015000FN00000000020220701000015000NNM   20220416203414    1W    00000100000001228000000000032Q8    EMEMI   000000000000MI325026
BI00B32Q8    EW22073 MW     202206081801R704190              CIVUS 1.25 L             CCN000019000000019000FN00000000020220701000019000NNM   20220416203414    1W    00000100000001228000000000032Q8    EMEMI   000000000000MI425041
BI00B32Q8    EW22074 MW     202206151801R704190              CIVUS 1.25 L             CCN000020000000020000FN00000000020220701000020000NNM   20220416203414    1W    00000100000001228000000000032Q8    EMEMI   000000000000MI126048
BI00B32Q8    EW22071 MW     202205251801R704161              CIVUS 1.25 LG            CCN000011000000011000FN00000000020220701000011000NNM   20220416203414    1W    00000100000001228000000000032Q8    EMEMI   000000000000MI225015
