BI00B32D9    C21003         202202031801W006980              IVSSH 0.35F BR           CCN000002500000002500FN00000000020220301000002500NNM   20211222120223    1W    00000250000000452000000000032D9    UEHESTO 000000000000HT321044
BI00B32D9    C21203         202202171801W006980              IVSSH 0.35F BR           CCN000002500000002500FN00000000020220301000002500NNM   20211222120223    1W    00000250000000452000000000032D9    UEHESTO 000000000000HT122039
BI00B32D9    C21003         202202031801W006990              IVSSH 0.35F L            CCN000002500000002500FN00000000020220301000002500NNM   20211222120223    1W    00000250000000452000000000032D9    UEHESTO 000000000000HT321046
BI00B32D9    C21103         202202101801W006990              IVSSH 0.35F L            CCN000002500000002500FN00000000020220301000002500NNM   20211222120223    1W    00000250000000452000000000032D9    UEHESTO 000000000000HT421038
BI00B32D9    C21203         202202171801W006990              IVSSH 0.35F L            CCN000002500000002500FN00000000020220301000002500NNM   20211222120223    1W    00000250000000452000000000032D9    UEHESTO 000000000000HT122041
BI00B32D9    C21304         202202241801W006990              IVSSH 0.35F L            CCN000002500000002500FN00000000020220301000002500NNM   20211222120223    1W    00000250000000452000000000032D9    UEHESTO 000000000000HT222042
BI00B32D9    C21003         202202031801W006991              IVSSH 0.35F SB           CCN000002500000002500FN00000000020220301000002500NNM   20211222120223    1W    00000250000000452000000000032D9    UEHESTO 000000000000HT321049
BI00B32D9    C21003         202202031801W006992              IVSSH 0.35F V            CCN000005000000005000FN00000000020220301000005000NNM   20211222120223    1W    00000250000000452000000000032D9    UEHESTO 000000000000HT321050
BI00B32D9    C21103         202202101801W006992              IVSSH 0.35F V            CCN000002500000002500FN00000000020220301000002500NNM   20211222120223    1W    00000250000000452000000000032D9    UEHESTO 000000000000HT421041
BI00B32D9    C21203         202202171801W006992              IVSSH 0.35F V            CCN000002500000002500FN00000000020220301000002500NNM   20211222120223    1W    00000250000000452000000000032D9    UEHESTO 000000000000HT122044
BI00B32D9    C21304         202202241801W006992              IVSSH 0.35F V            CCN000002500000002500FN00000000020220301000002500NNM   20211222120223    1W    00000250000000452000000000032D9    UEHESTO 000000000000HT222045
BI00B32D9    C21003         20220203180D0203730              AVSSH 0.3F B             CCN000004000000004000FN00000000020220301000004000NNM   20211222120223    1W    00000200000000515000000000032D9    UEHESTO 000000000000HT321024
BI00B32D9    C21003         20220203180D0203750              AVSSH 0.3F R             CCN000010000000010000FN00000000020220301000010000NNM   20211222120223    1W    00000200000000515000000000032D9    UEHESTO 000000000000HT321026
BI00B32D9    C21003         20220203180D0203760              AVSSH 0.3F G             CCN000002000000002000FN00000000020220301000002000NNM   20211222120223    1W    00000200000000515000000000032D9    UEHESTO 000000000000HT321025
BI00B32D9    C21304         20220224180D0203790              AVSSH 0.3F L             CCN000002000000002000FN00000000020220301000002000NNM   20211222120223    1W    00000200000000515000000000032D9    UEHESTO 000000000000HT222021
BI00B32D9    C21003         20220203180D0203792              AVSSH 0.3F V             CCN000002000000002000FN00000000020220301000002000NNM   20211222120223    1W    00000200000000515000000000032D9    UEHESTO 000000000000HT321027
BI00B32M1    TV201B         2022011318007703752              AVSS 0.3F P              CCN000004000000004000FN00000000020220101000004000NNE   20211222120223    1W    00000200000000496000000000032M1    VNYEV   000000000000VO41C008
BI00B32M1    TV201B         2022011318007703930              AVSS 0.5F B              CCN000003000000003000FN00000000020220101000003000NNE   20211222120223    1W    00000150000000674000000000032M1    VNYEV   000000000000VO41C009
BI00B32M1    TV201B         2022011318007703941              AVSS 0.5F GY             CCN000006000000006000FN00000000020220101000006000NNE   20211222120223    1W    00000150000000674000000000032M1    VNYEV   000000000000VO41C010
BI00B32M1    TV201B         20220113180D0203990              AVSSH 0.5F L             CCN000030000000030000FN00000000020220101000030000NNE   20211222120223    1W    00000150000000689000000000032M1    VNYEV   000000000000VO41C006
BI00B32M1    TV201B         20220113180D0203943              AVSSH 0.5F W/B           CCN000001500000001500FN00000000020220101000001500NNE   20211222120223    1W    00000150000000689000000000032M1    VNYEV   000000000000VO41C007
BI00B32M4    TW2021A        202201201801W006960              IVSSH 0.35F G            CCN000002500000002500FN00000000020220201000002500NNE   20211222120223    1W    00000250000000452000000000032M4    SISAI   000000000000GC121014
BI00B32M4    TW2021A        202201201801W006941              IVSSH 0.35F GY           CCN000002500000002500FN00000000020220201000002500NNE   20211222120223    1W    00000250000000452000000000032M4    SISAI   000000000000GC121015
BI00B32M4    TW2021A        202201201801W006990              IVSSH 0.35F L            CCN000005000000005000FN00000000020220201000005000NNE   20211222120223    1W    00000250000000452000000000032M4    SISAI   000000000000GC121016
BI00B32M4    TW2021A        202201201801W006950              IVSSH 0.35F R            CCN000002500000002500FN00000000020220201000002500NNE   20211222120223    1W    00000250000000452000000000032M4    SISAI   000000000000GC121017
BI00B32M4    TW2021A        202201201801W006991              IVSSH 0.35F SB           CCN000002500000002500FN00000000020220201000002500NNE   20211222120223    1W    00000250000000452000000000032M4    SISAI   000000000000GC121018
BI00B32M4    TW2021A        202201201801W006992              IVSSH 0.35F V            CCN000005000000005000FN00000000020220201000005000NNE   20211222120223    1W    00000250000000452000000000032M4    SISAI   000000000000GC121019
BI00B32M4    TW2021A        202201201801W006940              IVSSH 0.35F W            CCN000010000000010000FN00000000020220201000010000NNE   20211222120223    1W    00000250000000452000000000032M4    SISAI   000000000000GC121020
BI00B32M4    TW2021A        202201201801W006970              IVSSH 0.35F Y            CCN000005000000005000FN00000000020220201000005000NNE   20211222120223    1W    00000250000000452000000000032M4    SISAI   000000000000GC121021
BI00B32M4    TW2021A        202201201801W003930              IVSSH 0.5F B             CCN000003600000003600FN00000000020220201000003600NNE   20211222120223    1W    00000180000000625000000000032M4    SISAI   000000000000GC121001
BI00B32M4    TW2021A        202201201801W003960              IVSSH 0.5F G             CCN000001800000001800FN00000000020220201000001800NNE   20211222120223    1W    00000180000000625000000000032M4    SISAI   000000000000GC121002
BI00B32M4    TW2021A        202201201801W003941              IVSSH 0.5F GY            CCN000001800000001800FN00000000020220201000001800NNE   20211222120223    1W    00000180000000625000000000032M4    SISAI   000000000000GC121003
BI00B32M4    TW2021A        202201201801W003990              IVSSH 0.5F L             CCN000005400000005400FN00000000020220201000005400NNE   20211222120223    1W    00000180000000625000000000032M4    SISAI   000000000000GC121004
BI00B32M4    TW2021A        202201201801W003952              IVSSH 0.5F P             CCN000003600000003600FN00000000020220201000003600NNE   20211222120223    1W    00000180000000625000000000032M4    SISAI   000000000000GC121005
BI00B32M4    TW2021A        202201201801W003950              IVSSH 0.5F R             CCN000007200000007200FN00000000020220201000007200NNE   20211222120223    1W    00000180000000625000000000032M4    SISAI   000000000000GC121006
BI00B32M4    TW2021A        202201201801W003991              IVSSH 0.5F SB            CCN000001800000001800FN00000000020220201000001800NNE   20211222120223    1W    00000180000000625000000000032M4    SISAI   000000000000GC121007
BI00B32M4    TW2021A        202201201801W003940              IVSSH 0.5F W             CCN000001800000001800FN00000000020220201000001800NNE   20211222120223    1W    00000180000000625000000000032M4    SISAI   000000000000GC121008
BI00B32M4    TW2021A        202201201801W003943              IVSSH 0.5F W/B           CCN000005400000005400FN00000000020220201000005400NNE   20211222120223    1W    00000180000000625000000000032M4    SISAI   000000000000GC121009
BI00B32M4    TW2021A        202201201801W003970              IVSSH 0.5F Y             CCN000007200000007200FN00000000020220201000007200NNE   20211222120223    1W    00000180000000625000000000032M4    SISAI   000000000000GC121010
BI00B32M4    TW2021A        202201201801W004030              IVSSH 0.75F B            CCN000001300000001300FN00000000020220201000001300NNE   20211222120223    1W    00000130000000882000000000032M4    SISAI   000000000000GC121011
BI00B32M4    TW2021A        202201201801W004090              IVSSH 0.75F L            CCN000001300000001300FN00000000020220201000001300NNE   20211222120223    1W    00000130000000882000000000032M4    SISAI   000000000000GC121012
BI00B32M4    TW2021A        202201201801W004050              IVSSH 0.75F R            CCN000001300000001300FN00000000020220201000001300NNE   20211222120223    1W    00000130000000882000000000032M4    SISAI   000000000000GC121013
BI00B32W6    SW2202AQMW     2022011918000004560              AV 8 G                   CCN000004000000004000FN00000000020220201000004000NNE   20211222120223    1W    00000010000009148000000000032W6    SYSYA-WJ000000000000WU121013
BI00B32W6    SW2202AQMW     2022011918000004550              AV 8 R                   CCN000002000000002000FN00000000020220201000002000NNE   20211222120223    1W    00000010000009148000000000032W6    SYSYA-WJ000000000000WU121014
