BI00B32DE    TCT2075        202207077116-1686-02             TERMINAL                 CCN000084000000084000FN00000000020220701000084000NNM   20220505122117    4P0P  00002100000000869400001021632DE    TVYEV-TV005100280028
BI00B32DE    TCT2074        202206307116-1688-02             TERMINAL FEMALE          CCN000021000000021000FN00000000020220701000021000NNM   20220505122117    4P0P  00002100000000299600000898832DE    TVYEV-TV005100280028
BI00B32DE    TCT2075        202207077116-1688-02             TERMINAL FEMALE          CCN000021000000021000FN00000000020220701000021000NNM   20220505122117    4P0P  00002100000000299600000898832DE    TVYEV-TV005100280028
BI00B32DE    TCT2072        202206167116-2640                TERMINAL                 CCN000018000000018000FN00000000020220701000018000NNM   20220505122117    4P0P  00001800000001018800001196632DE    TVYEV-TV005100280028
BI00B32DE    TCT2073        202206237116-2640                TERMINAL                 CCN000036000000036000FN00000000020220701000036000NNM   20220505122117    4P0P  00001800000001018800001196632DE    TVYEV-TV005100280028
BI00B32DE    TCT2074        202206307116-2640                TERMINAL                 CCN000018000000018000FN00000000020220701000018000NNM   20220505122117    4P0P  00001800000001018800001196632DE    TVYEV-TV005100280028
BI00B32DE    TCT2075        202207077116-2640                TERMINAL                 CCN000036000000036000FN00000000020220701000036000NNM   20220505122117    4P0P  00001800000001018800001196632DE    TVYEV-TV005100280028
BI00B32DE    TCT2072        202206167116-2641                TERMINAL                 CCN000018000000018000FN00000000020220701000018000NNM   20220505122117    4P0P  00001800000001161000001344632DE    TVYEV-TV005100280028
BI00B32DE    TCT2073        202206237116-2641                TERMINAL                 CCN000036000000036000FN00000000020220701000036000NNM   20220505122117    4P0P  00001800000001161000001344632DE    TVYEV-TV005100280028
BI00B32DE    TCT2074        202206307116-2641                TERMINAL                 CCN000018000000018000FN00000000020220701000018000NNM   20220505122117    4P0P  00001800000001161000001344632DE    TVYEV-TV005100280028
BI00B32DE    TCT2075        202207077116-2641                TERMINAL                 CCN000054000000054000FN00000000020220701000054000NNM   20220505122117    4P0P  00001800000001161000001344632DE    TVYEV-TV005100280028
BI00B32DE    TCT2072        202206167116-2891-02             TERMINAL                 CCN000195000000195000FN00000000020220701000195000NNM   20220505122117    4P0P  00001500000000982500001145932DE    TVYEV-TV005100280028
BI00B32DE    TCT2073        202206237116-2891-02             TERMINAL                 CCN000165000000165000FN00000000020220701000165000NNM   20220505122117    4P0P  00001500000000982500001145932DE    TVYEV-TV005100280028
BI00B32DE    TCT2074        202206307116-2891-02             TERMINAL                 CCN000135000000135000FN00000000020220701000135000NNM   20220505122117    4P0P  00001500000000982500001145932DE    TVYEV-TV005100280028
BI00B32DE    TCT2075        202207077116-2891-02             TERMINAL                 CCN000285000000285000FN00000000020220701000285000NNM   20220505122117    4P0P  00001500000000982500001145932DE    TVYEV-TV005100280028
BI00B32DE    TCT2072        202206167116-2892-02             TERMINAL                 CCN000072000000072000FN00000000020220701000072000NNM   20220505122117    4P0P  00001200000000818400000981832DE    TVYEV-TV005100280028
BI00B32DE    TCT2073        202206237116-2892-02             TERMINAL                 CCN000144000000144000FN00000000020220701000144000NNM   20220505122117    4P0P  00001200000000818400000981832DE    TVYEV-TV005100280028
