BI00B1200    2399T52317     202204217288-3339-30             HOUSING MALE             CCN000007500000007500FN00000000020220501000007500NNM   20220223121808    4N0N  0000015000000086700000101201200    YCYC    005400370024
BI00B1200    2399T52316     202204077288-3340-30             HOUSING MALE             CCN000001500000001500FN00000000020220501000001500NNM   20220223121808    4N0N  0000015000000086150000100641200    YCYC    005400370024
BI00B1200    2399T52317     202204217288-3340-30             HOUSING MALE             CCN000001500000001500FN00000000020220501000001500NNM   20220223121808    4N0N  0000015000000086150000100641200    YCYC    005400370024
BI00B1200    2399T52316     202204077288-6547                CONNECTOR MALE ASS'Y     CCN000267000000267000FN00000000020220501000267000NNM   20220223121808    4N0N  0000007500000120530000134031200    YCYC    005400370024
BI00B1200    2399T52317     202204217288-6547                CONNECTOR MALE ASS'Y     CCN000267000000267000FN00000000020220501000267000NNM   20220223121808    4N0N  0000007500000120530000134031200    YCYC    005400370024
BI00B1200    2399T52316     202204077288-6598-70             HOUSING MALE ASS'Y       CCN000001440000001440FN00000000020220501000001440NNM   20220223121808    4N0N  0000014400000107420000142921200    YCYC    005500360039
BI00B1200    2399T52316     202204077288-7969                HYBRID MALE ASS'Y        CCN000039040000039040FN00000000020220501000039040NNM   20220223121808    1N0N  0000003200000087620000110171200    YCYC    005400370024
BI00B1200    2399T52317     202204217288-7969                HYBRID MALE ASS'Y        CCN000038720000038720FN00000000020220501000038720NNM   20220223121808    1N0N  0000003200000087620000110171200    YCYC    005400370024
BI00B1200    2399T52316     202204077289-0269                HOUSING SUB ASSEMBLY     CCN000025600000025600FN00000000020220501000025600NNM   20220223121808    1N0N  0000016000000100210000123451200    YCYC    005500360039
BI00B1200    2399T52317     202204217289-0269                HOUSING SUB ASSEMBLY     CCN000025600000025600FN00000000020220501000025600NNM   20220223121808    1N0N  0000016000000100210000123451200    YCYC    005500360039
BI00B1200    2399T52316     202204077289-3342                HOUSING FEMALE ASS'Y     CCN000004800000004800FN00000000020220501000004800NNM   20220223121808    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00B1200    2399T52317     202204217289-3342                HOUSING FEMALE ASS'Y     CCN000004800000004800FN00000000020220501000004800NNM   20220223121808    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00B1200    2399T52316     202204077289-3342-30             HOUSING FEMALE ASS'Y     CCN000019200000019200FN00000000020220501000019200NNM   20220223121808    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00B1200    2399T52317     202204217289-3342-30             HOUSING FEMALE ASS'Y     CCN000019200000019200FN00000000020220501000019200NNM   20220223121808    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00B1200    2399T52316     202204077289-4212-80             SEALED HOUSING ASS'Y     CCN000034000000034000FN00000000020220501000034000NNM   20220223121808    4N0N  0000020000000084860000097861200    YCYC    005400370024
BI00B1200    2399T52317     202204217289-4212-80             SEALED HOUSING ASS'Y     CCN000034000000034000FN00000000020220501000034000NNM   20220223121808    4N0N  0000020000000084860000097861200    YCYC    005400370024
