BI00A1200    HIB21121301    202202107196-2027-02             TERMINAL FEMALE          CCN000024000000024000FN00000000020220101000024000NNED0420211229200538    4P0P  0000240000000104400000120741200    YCYC    005100280028
BI00B1200    2399T52115     202202177288-6547                CONNECTOR MALE ASS'Y     CCN000173250000173250FN00000000020220301000173250NNM   20211229200538    4N0N  0000007500000120530000134031200    YCYC    005400370024
BI00B1200    2399T52116     202202247288-6547                CONNECTOR MALE ASS'Y     CCN000173250000173250FN00000000020220301000173250NNM   20211229200538    4N0N  0000007500000120530000134031200    YCYC    005400370024
BI00B1200    2399T52113     202202037288-6598-70             HOUSING MALE ASS'Y       CCN000025920000025920FN00000000020220301000025920NNM   20211229200538    4N0N  0000014400000107420000142921200    YCYC    005500360039
BI00B1200    2399T52114     202202107288-6598-70             HOUSING MALE ASS'Y       CCN000024480000024480FN00000000020220301000024480NNM   20211229200538    4N0N  0000014400000107420000142921200    YCYC    005500360039
BI00B1200    2399T52115     202202177288-6598-70             HOUSING MALE ASS'Y       CCN000024480000024480FN00000000020220301000024480NNM   20211229200538    4N0N  0000014400000107420000142921200    YCYC    005500360039
BI00B1200    2399T52116     202202247288-6598-70             HOUSING MALE ASS'Y       CCN000024480000024480FN00000000020220301000024480NNM   20211229200538    4N0N  0000014400000107420000142921200    YCYC    005500360039
BI00B1200    2399T52113     202202037289-0269                HOUSING SUB ASSEMBLY     CCN000003200000003200FN00000000020220301000003200NNM   20211229200538    1N0N  0000016000000100210000123451200    YCYC    005500360039
BI00B1200    2399T52114     202202107289-0269                HOUSING SUB ASSEMBLY     CCN000003200000003200FN00000000020220301000003200NNM   20211229200538    1N0N  0000016000000100210000123451200    YCYC    005500360039
BI00B1200    2399T52115     202202177289-0269                HOUSING SUB ASSEMBLY     CCN000003200000003200FN00000000020220301000003200NNM   20211229200538    1N0N  0000016000000100210000123451200    YCYC    005500360039
BI00B1200    2399T52116     202202247289-0269                HOUSING SUB ASSEMBLY     CCN000001600000001600FN00000000020220301000001600NNM   20211229200538    1N0N  0000016000000100210000123451200    YCYC    005500360039
BI00B1200    2399T52113     202202037289-3342                HOUSING FEMALE ASS'Y     CCN000004800000004800FN00000000020220301000004800NNM   20211229200538    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00B1200    2399T52114     202202107289-3342                HOUSING FEMALE ASS'Y     CCN000002400000002400FN00000000020220301000002400NNM   20211229200538    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00B1200    2399T52115     202202177289-3342                HOUSING FEMALE ASS'Y     CCN000002400000002400FN00000000020220301000002400NNM   20211229200538    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00B1200    2399T52116     202202247289-3342                HOUSING FEMALE ASS'Y     CCN000002400000002400FN00000000020220301000002400NNM   20211229200538    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00B1200    2399T52113     202202037289-3342-30             HOUSING FEMALE ASS'Y     CCN000019200000019200FN00000000020220301000019200NNM   20211229200538    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00B1200    2399T52114     202202107289-3342-30             HOUSING FEMALE ASS'Y     CCN000019200000019200FN00000000020220301000019200NNM   20211229200538    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00B1200    2399T52115     202202177289-3342-30             HOUSING FEMALE ASS'Y     CCN000016800000016800FN00000000020220301000016800NNM   20211229200538    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00B1200    2399T52116     202202247289-3342-30             HOUSING FEMALE ASS'Y     CCN000016800000016800FN00000000020220301000016800NNM   20211229200538    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00B1200    2399T52113     202202037289-4212-80             SEALED HOUSING ASS'Y     CCN000016000000016000FN00000000020220301000016000NNM   20211229200538    4N0N  0000020000000084860000097861200    YCYC    005400370024
BI00B1200    2399T52114     202202107289-4212-80             SEALED HOUSING ASS'Y     CCN000016000000016000FN00000000020220301000016000NNM   20211229200538    4N0N  0000020000000084860000097861200    YCYC    005400370024
BI00B1200    2399T52115     202202177289-4212-80             SEALED HOUSING ASS'Y     CCN000014000000014000FN00000000020220301000014000NNM   20211229200538    4N0N  0000020000000084860000097861200    YCYC    005400370024
BI00B1200    2399T52116     202202247289-4212-80             SEALED HOUSING ASS'Y     CCN000014000000014000FN00000000020220301000014000NNM   20211229200538    4N0N  0000020000000084860000097861200    YCYC    005400370024
BI00B1200    2399T52113     202202037289-5979-30             HOUSING FEMALE ASS'Y     CCN000064764000064764FN00000000020220301000064764NNM   20211229200538    1N0N  0000002520000085470000106471200    YCYC    005400370024
BI00B1200    2399T52114     202202107289-5979-30             HOUSING FEMALE ASS'Y     CCN000064512000064512FN00000000020220301000064512NNM   20211229200538    1N0N  0000002520000085470000106471200    YCYC    005400370024
BI00B1200    2399T52115     202202177289-5979-30             HOUSING FEMALE ASS'Y     CCN000064512000064512FN00000000020220301000064512NNM   20211229200538    1N0N  0000002520000085470000106471200    YCYC    005400370024
BI00B1200    2399T52116     202202247289-5979-30             HOUSING FEMALE ASS'Y     CCN000064512000064512FN00000000020220301000064512NNM   20211229200538    1N0N  0000002520000085470000106471200    YCYC    005400370024
BI00B1200    2399T52113     202202037289-6159-30             HOUSING FEMALE ASS'Y     CCN000000240000000240FN00000000020220301000000240NNM   20211229200538    4N0N  0000002400000109500000137501200    YCYC    005500360039
BI00B1200    2399T52114     202202107289-6159-30             HOUSING FEMALE ASS'Y     CCN000000240000000240FN00000000020220301000000240NNM   20211229200538    4N0N  0000002400000109500000137501200    YCYC    005500360039
BI00B1200    2399T52115     202202177289-6159-30             HOUSING FEMALE ASS'Y     CCN000000240000000240FN00000000020220301000000240NNM   20211229200538    4N0N  0000002400000109500000137501200    YCYC    005500360039
BI00B1200    2399T52113     202202037289-6518-30             HOUSING FEMALE ASS'Y     CCN000016800000016800FN00000000020220301000016800NNM   20211229200538    1N0N  0000012000000082920000104921200    YCYC    005500360039
BI00B1200    2399T52114     202202107289-6518-30             HOUSING FEMALE ASS'Y     CCN000016800000016800FN00000000020220301000016800NNM   20211229200538    1N0N  0000012000000082920000104921200    YCYC    005500360039
BI00B1200    2399T52115     202202177289-6518-30             HOUSING FEMALE ASS'Y     CCN000016800000016800FN00000000020220301000016800NNM   20211229200538    1N0N  0000012000000082920000104921200    YCYC    005500360039
BI00B1200    2399T52116     202202247289-6518-30             HOUSING FEMALE ASS'Y     CCN000016800000016800FN00000000020220301000016800NNM   20211229200538    1N0N  0000012000000082920000104921200    YCYC    005500360039
BI00B1200    2399T52113     202202037289-6523-30             HOUSING FEMALE ASS'Y     CCN000003840000003840FN00000000020220301000003840NNM   20211229200538    4N0N  0000002400000129050000162051200    YCYC    005500360039
BI00B1200    2399T52114     202202107289-6523-30             HOUSING FEMALE ASS'Y     CCN000003600000003600FN00000000020220301000003600NNM   20211229200538    4N0N  0000002400000129050000162051200    YCYC    005500360039
BI00B1200    2399T52115     202202177289-6523-30             HOUSING FEMALE ASS'Y     CCN000003600000003600FN00000000020220301000003600NNM   20211229200538    4N0N  0000002400000129050000162051200    YCYC    005500360039
BI00B1200    2399T52116     202202247289-6523-30             HOUSING FEMALE ASS'Y     CCN000003600000003600FN00000000020220301000003600NNM   20211229200538    4N0N  0000002400000129050000162051200    YCYC    005500360039
