BI00A1200    2399T51C15     202203257288-6547                CONNECTOR MALE ASS'Y     PCN000120000000120000FN00000000020220101000120000NNMM0020220301164603    4N0N  0000007500000120530000134031200    YCYC    005400370024
BI00B32A7    ZZ22054LMW     202204277116-4121-02             TERMINAL                 CCN000004500000004500FN00000000020220501000004500NNM   20220301132716    4P0P  00000450000000618800000912432A7    ZZZZY   006400630015
BI00B32A7    ZZ22052LMW     202204127116-4122-02             TERMINAL                 CCN000013500000013500FN00000000020220501000013500NNM   20220301132716    4P0P  00000450000000656600000950232A7    ZZZZY   006400630015
BI00B32A7    ZZ22053LMW     202204207116-4122-02             TERMINAL                 CCN000013500000013500FN00000000020220501000013500NNM   20220301132716    4P0P  00000450000000656600000950232A7    ZZZZY   006400630015
BI00B32A7    ZZ22054LMW     202204277116-4122-02             TERMINAL                 CCN000009000000009000FN00000000020220501000009000NNM   20220301132716    4P0P  00000450000000656600000950232A7    ZZZZY   006400630015
BI00B32A7    ZZ22051LMW     202204067123-1508                CONNECTOR                CCN000003000000003000FN00000000020220501000003000NNM   20220301132716    1F0F  00000100000000933000001174032A7    ZZZZY   005600390040
BI00B32A7    ZZ22052LMW     202204127123-1508                CONNECTOR                CCN000008000000008000FN00000000020220501000008000NNM   20220301132716    1F0F  00000100000000933000001174032A7    ZZZZY   005600390040
BI00B32A7    ZZ22053LMW     202204207123-1508                CONNECTOR                CCN000008000000008000FN00000000020220501000008000NNM   20220301132716    1F0F  00000100000000933000001174032A7    ZZZZY   005600390040
BI00B32A7    ZZ22054LMW     202204277123-1508                CONNECTOR                CCN000004000000004000FN00000000020220501000004000NNM   20220301132716    1F0F  00000100000000933000001174032A7    ZZZZY   005600390040
BI00B32A7    ZZ22052LMW     202204127126-8853-02             TERMINAL                 CCN000022500000022500FN00000000020220501000022500NNM   20220301132716    4P0P  00000750000000562500000847732A7    ZZZZY   006400630015
BI00B32A7    ZZ22053LMW     202204207126-8853-02             TERMINAL                 CCN000037500000037500FN00000000020220501000037500NNM   20220301132716    4P0P  00000750000000562500000847732A7    ZZZZY   006400630015
BI00B32A7    ZZ22054LMW     202204277126-8853-02             TERMINAL                 CCN000022500000022500FN00000000020220501000022500NNM   20220301132716    4P0P  00000750000000562500000847732A7    ZZZZY   006400630015
BI00B32A7    ZZ22052LMW     202204127126-8854-02             TERMINAL                 CCN000007500000007500FN00000000020220501000007500NNM   20220301132716    4P0P  00000750000000604500000889732A7    ZZZZY   006400630015
BI00B32A7    ZZ22053LMW     202204207126-8854-02             TERMINAL                 CCN000030000000030000FN00000000020220501000030000NNM   20220301132716    4P0P  00000750000000604500000889732A7    ZZZZY   006400630015
BI00B32A7    ZZ22054LMW     202204277126-8854-02             TERMINAL                 CCN000015000000015000FN00000000020220501000015000NNM   20220301132716    4P0P  00000750000000604500000889732A7    ZZZZY   006400630015
BI00B32A7    ZZ22053LMW     202204207126-8855-02             TERMINAL                 CCN000024000000024000FN00000000020220501000024000NNM   20220301132716    4P0P  00000600000000510600000795832A7    ZZZZY   006400630015
BI00B32A7    ZZ22054LMW     202204277126-8855-02             TERMINAL                 CCN000006000000006000FN00000000020220501000006000NNM   20220301132716    4P0P  00000600000000510600000795832A7    ZZZZY   006400630015
BI00B32A7    ZZ22051LMW     202204067137-3047-30             UNIT PACKING             CCN000004000000004000FN00000000020220501000004000NNM   20220301132716    1C0C  00000100000000170500000218932A7    ZZZZY   002700430014
BI00B32A7    ZZ22052LMW     202204127137-3047-30             UNIT PACKING             CCN000006000000006000FN00000000020220501000006000NNM   20220301132716    1C0C  00000100000000170500000218932A7    ZZZZY   002700430014
BI00B32A7    ZZ22053LMW     202204207137-3047-30             UNIT PACKING             CCN000006000000006000FN00000000020220501000006000NNM   20220301132716    1C0C  00000100000000170500000218932A7    ZZZZY   002700430014
BI00B32A7    ZZ22054LMW     202204277137-3047-30             UNIT PACKING             CCN000004000000004000FN00000000020220501000004000NNM   20220301132716    1C0C  00000100000000170500000218932A7    ZZZZY   002700430014
BI00B32A7    ZZ22051LMW     202204067158-3006-90             RUBBER STOPPER           CCN000040000000040000FN00000000020220501000040000NNM   20220301132716    1C0C  00002000000000330600000386032A7    ZZZZY   002700430014
BI00B32A7    ZZ22052LMW     202204127158-3006-90             RUBBER STOPPER           CCN000020000000020000FN00000000020220501000020000NNM   20220301132716    1C0C  00002000000000330600000386032A7    ZZZZY   002700430014
BI00B32A7    ZZ22053LMW     202204207158-3006-90             RUBBER STOPPER           CCN000040000000040000FN00000000020220501000040000NNM   20220301132716    1C0C  00002000000000330600000386032A7    ZZZZY   002700430014
BI00B32A7    ZZ22051LMW     202204067158-3166-60             WIRE SEAL                CCN000120000000120000FN00000000020220501000120000NNM   20220301132716    1C0C  00004000000000104000000152432A7    ZZZZY   002700430014
BI00B32A7    ZZ22052LMW     202204127158-3166-60             WIRE SEAL                CCN000360000000360000FN00000000020220501000360000NNM   20220301132716    1C0C  00004000000000104000000152432A7    ZZZZY   002700430014
BI00B32A7    ZZ22053LMW     202204207158-3166-60             WIRE SEAL                CCN000360000000360000FN00000000020220501000360000NNM   20220301132716    1C0C  00004000000000104000000152432A7    ZZZZY   002700430014
BI00B32A7    ZZ22054LMW     202204277158-3166-60             WIRE SEAL                CCN000240000000240000FN00000000020220501000240000NNM   20220301132716    1C0C  00004000000000104000000152432A7    ZZZZY   002700430014
BI00B32A7    ZZ22051LMW     202204067158-3167-80             WIRE SEAL                CCN000200000000200000FN00000000020220501000200000NNM   20220301132716    1C0C  00002000000000048000000109032A7    ZZZZY   002700430014
BI00B32A7    ZZ22052LMW     202204127158-3167-80             WIRE SEAL                CCN000360000000360000FN00000000020220501000360000NNM   20220301132716    1C0C  00002000000000048000000109032A7    ZZZZY   002700430014
BI00B32A7    ZZ22053LMW     202204207158-3167-80             WIRE SEAL                CCN000360000000360000FN00000000020220501000360000NNM   20220301132716    1C0C  00002000000000048000000109032A7    ZZZZY   002700430014
BI00B32A7    ZZ22054LMW     202204277158-3167-80             WIRE SEAL                CCN000200000000200000FN00000000020220501000200000NNM   20220301132716    1C0C  00002000000000048000000109032A7    ZZZZY   002700430014
BI00B32A7    ZZ22051LMW     202204067158-3168-80             SEALED                   CCN000040000000040000FN00000000020220501000040000NNM   20220301132716    1C0C  00002000000000044000000092132A7    ZZZZY   004300260014
