BI00B32A7    ZZ22033LMW     202202097289-5000                HOUSING FEMALE ASS'Y     CCN000001216000001216FN00000000020220301000001216NNM   20220106144725    1N0N  00000030400000549000000759032A7    ZZZZY   005400370024
BI00B32A7    ZZ22034LMW     202202237289-5000                HOUSING FEMALE ASS'Y     CCN000000608000000608FN00000000020220301000000608NNM   20220106144725    1N0N  00000030400000549000000759032A7    ZZZZY   005400370024
BI00B32A7    ZZ22031LMW     202202027327-6769-3W             BATTERY FUSE             CCN000014016000014016FN00000000020220301000014016NNM   20220106144725    4N0N  00000009600000933300001133332A7    ZZZZY   005500360039
BI00B32A7    ZZ22033LMW     202202097327-6769-3W             BATTERY FUSE             CCN000004800000004800FN00000000020220301000004800NNM   20220106144725    4N0N  00000009600000933300001133332A7    ZZZZY   005500360039
BI00B32A7    #ZZ22031LMW    202202027123-6423-30             CONNECTOR                CCN000020000000020000FN00000000020220301000020000NNM   20220106144721    2F0F  00000200000001002000001167632A7    ZZZZY   005600390023
BI00B32A7    #ZZ22032LMW    202202097123-6423-30             CONNECTOR                CCN000002000000002000FN00000000020220301000002000NNM   20220106144721    2F0F  00000200000001002000001167632A7    ZZZZY   005600390023
BI00B32A7    #ZZ22033LMW    202202097123-6423-30             CONNECTOR                CCN000010000000010000FN00000000020220301000010000NNM   20220106144721    2F0F  00000200000001002000001167632A7    ZZZZY   005600390023
BI00B32A7    #ZZ22034LMW    202202237123-6423-30             CONNECTOR                CCN000002000000002000FN00000000020220301000002000NNM   20220106144721    2F0F  00000200000001002000001167632A7    ZZZZY   005600390023
BI00B32A7    #ZZ22031LMW    202202027157-3952-80             RUBBER STOPPER           CCN000020000000020000FN00000000020220301000020000NNM   20220106144721    2C0C  00001000000000117000000175032A7    ZZZZY   002700430014
BI00B32A7    #ZZ22033LMW    202202097157-3952-80             RUBBER STOPPER           CCN000010000000010000FN00000000020220301000010000NNM   20220106144721    2C0C  00001000000000117000000175032A7    ZZZZY   002700430014
BI00B32A7    #ZZ22031LMW    202202027157-3992-90             CONNECTOR SEALED         CCN000040000000040000FN00000000020220301000040000NNM   20220106144721    2C0C  00004000000000300000000363332A7    ZZZZY   002700430014
BI00B32A7    #ZZ22031LMW    202202027157-7812                SEAL RUBBER              CCN000030000000030000FN00000000020220301000030000NNM   20220106144721    2C0C  00001000000000137000000202032A7    ZZZZY   002700430014
BI00B32A7    #ZZ22031LMW    202202027158-3003-90             RUBBER STOPPER           CCN000040000000040000FN00000000020220301000040000NNM   20220106144721    2C0C  00002000000000250000000306032A7    ZZZZY   002700430014
BI00B32A7    #ZZ22033LMW    202202097158-3003-90             RUBBER STOPPER           CCN000020000000020000FN00000000020220301000020000NNM   20220106144721    2C0C  00002000000000250000000306032A7    ZZZZY   002700430014
BI00B32A7    #ZZ22031LMW    202202027158-3007-10             RUBBER STOPPER           CCN000020000000020000FN00000000020220301000020000NNM   20220106144721    2H0H  00002000000000308000000362732A7    ZZZZY   002700430014
BI00B32A7    #ZZ22033LMW    202202097158-3007-10             RUBBER STOPPER           CCN000020000000020000FN00000000020220301000020000NNM   20220106144721    2H0H  00002000000000308000000362732A7    ZZZZY   002700430014
BI00B32A7    #ZZ22031LMW    202202027158-3008-80             RUBBER STOPPER           CCN000060000000060000FN00000000020220301000060000NNM   20220106144721    2C0C  00002000000000288000000343032A7    ZZZZY   004300270014
BI00B32A7    #ZZ22033LMW    202202097158-3008-80             RUBBER STOPPER           CCN000020000000020000FN00000000020220301000020000NNM   20220106144721    2C0C  00002000000000288000000343032A7    ZZZZY   004300270014
BI00B32A7    #ZZ22034LMW    202202237158-3008-80             RUBBER STOPPER           CCN000020000000020000FN00000000020220301000020000NNM   20220106144721    2C0C  00002000000000288000000343032A7    ZZZZY   004300270014
BI00B32A7    #ZZ22031LMW    202202027158-3120-90             CONNECTOR WIRE SEAL      CCN000220000000220000FN00000000020220301000220000NNM   20220106144721    2C0C  00002000000000136000000194032A7    ZZZZY   002700430014
BI00B32A7    #ZZ22033LMW    202202097158-3120-90             CONNECTOR WIRE SEAL      CCN000080000000080000FN00000000020220301000080000NNM   20220106144721    2C0C  00002000000000136000000194032A7    ZZZZY   002700430014
BI00B32A7    #ZZ22031LMW    202202027158-3121-80             WIRE SEAL                CCN000320000000320000FN00000000020220301000320000NNM   20220106144721    2C0C  00002000000000118000000187332A7    ZZZZY   002700430014
BI00B32A7    #ZZ22033LMW    202202097158-3121-80             WIRE SEAL                CCN000120000000120000FN00000000020220301000120000NNM   20220106144721    2C0C  00002000000000118000000187332A7    ZZZZY   002700430014
BI00B32A7    #ZZ22034LMW    202202237158-3121-80             WIRE SEAL                CCN000020000000020000FN00000000020220301000020000NNM   20220106144721    2C0C  00002000000000118000000187332A7    ZZZZY   002700430014
BI00B32A7    #ZZ22031LMW    202202027158-3654-80             WIRE TUBE                CCN000160000000160000FN00000000020220301000160000NNM   20220106144721    2H0H  00004000000000104000000152232A7    ZZZZY   004300270014
