BI00B32AF    @TTB203D       20220318181E48013ZZ              CAVSAS-S 0.3X3 GY        CCN000007000000007000FN00000000020220301000007000NNE   20220215151110    1W    00000025000002778200000000032AF    HBYHVTB 000000000000UT123003
BI00B32W4    4500189335     2022030818018403975              CAVS 0.5 Y/R             CCN000001500000001500FN00000000020220301000001500NNE   20220215154756W42 1W    00000150000000677000000000032W42   HJYHK-J 000000000000OY422038
BI00B32W4    4500189335     2022030818018404130              CAVS 1.25 B              CCN000005600000005600FN00000000020220301000005600NNE   20220215154756W42 1W    00000080000001378000000000032W42   HJYHK-J 000000000000OY422039
BI00B32W4    4500189335     2022030818018404190              CAVS 1.25 L              CCN000000800000000800FN00000000020220301000000800NNE   20220215154756W42 1W    00000080000001378000000000032W42   HJYHK-J 000000000000OY422040
BI00B32W4    4500189335     2022030818018404150              CAVS 1.25 R              CCN000000800000000800FN00000000020220301000000800NNE   20220215154756W42 1W    00000080000001378000000000032W42   HJYHK-J 000000000000OY422041
BI00B32W4    4500189335     2022030818018404140              CAVS 1.25 W              CCN000000800000000800FN00000000020220301000000800NNE   20220215154756W42 1W    00000080000001378000000000032W42   HJYHK-J 000000000000OY422042
BI00B32W4    4500189218     2022041218007704260              AVSS 2F G                CCN000001000000001000FN00000000020220401000001000NNE   20220215154759W41 1W    00000050000002126400000000032W41   HJYHK-J 000000000000OW523003
BI00B32W4    4500189218     2022041218007704270              AVSS 2F Y                CCN000001000000001000FN00000000020220401000001000NNE   20220215154759W41 1W    00000050000002126400000000032W41   HJYHK-J 000000000000OW523005
BI00B32W4    4500189218     2022041218007704230              AVSS 2F B                CCN000007500000007500FN00000000020220401000007500NNE   20220215154759W41 1W    00000050000002126400000000032W41   HJYHK-J 000000000000OW523002
BI00B32W4    4500189218     2022041218007704250              AVSS 2F R                CCN000005500000005500FN00000000020220401000005500NNE   20220215154759W41 1W    00000050000002126400000000032W41   HJYHK-J 000000000000OW523004
BI00B32W4    4500189218     2022041218018403740              CAVS 0.3 W               CCN000020000000020000FN00000000020220401000020000NNE   20220215154759W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OW523013
BI00B32W4    4500189218     2022041218018403730              CAVS 0.3 B               CCN000028000000028000FN00000000020220401000028000NNE   20220215154759W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OW523006
BI00B32W4    4500189218     2022041218018403750              CAVS 0.3 R               CCN000012000000012000FN00000000020220401000012000NNE   20220215154759W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OW523011
BI00B32W4    4500189218     2022041218018403752              CAVS 0.3 P               CCN000012000000012000FN00000000020220401000012000NNE   20220215154759W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OW523010
BI00B32W4    4500189218     2022041218018403760              CAVS 0.3 G               CCN000028000000028000FN00000000020220401000028000NNE   20220215154759W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OW523008
BI00B32W4    4500189218     2022041218018403770              CAVS 0.3 Y               CCN000010000000010000FN00000000020220401000010000NNE   20220215154759W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OW523014
BI00B32W4    4500189218     2022041218018403780              CAVS 0.3 BR              CCN000026000000026000FN00000000020220401000026000NNE   20220215154759W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OW523007
BI00B32W4    4500189218     2022041218018403790              CAVS 0.3 L               CCN000008000000008000FN00000000020220401000008000NNE   20220215154759W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OW523009
BI00B32W4    4500189218     2022041218018403792              CAVS 0.3 V               CCN000016000000016000FN00000000020220401000016000NNE   20220215154759W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OW523012
BI00B32W4    4500189218     2022041218018403963              CAVS 0.5 G/B             CCN000001500000001500FN00000000020220401000001500NNE   20220215154759W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OW523020
BI00B32W4    4500189218     2022041218018403930              CAVS 0.5 B               CCN000036000000036000FN00000000020220401000036000NNE   20220215154759W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OW523015
BI00B32W4    4500189218     2022041218018403940              CAVS 0.5 W               CCN000012000000012000FN00000000020220401000012000NNE   20220215154759W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OW523031
BI00B32W4    4500189218     2022041218018403950              CAVS 0.5 R               CCN000016500000016500FN00000000020220401000016500NNE   20220215154759W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OW523025
BI00B32W4    4500189218     2022041218018403951              CAVS 0.5 O               CCN000036000000036000FN00000000020220401000036000NNE   20220215154759W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OW523023
BI00B32W4    4500189218     2022041218018403952              CAVS 0.5 P               CCN000052500000052500FN00000000020220401000052500NNE   20220215154759W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OW523024
BI00B32W4    4500189218     2022041218018403960              CAVS 0.5 G               CCN000013500000013500FN00000000020220401000013500NNE   20220215154759W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OW523019
BI00B32W4    4500189218     2022041218018403961              CAVS 0.5 LG              CCN000013500000013500FN00000000020220401000013500NNE   20220215154759W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OW523022
BI00B32W4    4500189218     2022041218018403980              CAVS 0.5 BR              CCN000024000000024000FN00000000020220401000024000NNE   20220215154759W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OW523016
BI00B32W4    4500189218     2022041218018403990              CAVS 0.5 L               CCN000066000000066000FN00000000020220401000066000NNE   20220215154759W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OW523021
BI00B32W4    4500189218     2022041218018403991              CAVS 0.5 SB              CCN000025500000025500FN00000000020220401000025500NNE   20220215154759W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OW523029
BI00B32W4    4500189218     2022041218018403992              CAVS 0.5 V               CCN000010500000010500FN00000000020220401000010500NNE   20220215154759W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OW523030
BI00B32W4    4500189218     2022041218018404030              CAVS 0.85 B              CCN000034000000034000FN00000000020220401000034000NNE   20220215154759W41 1W    00000100000000965000000000032W41   HJYHK-J 000000000000OW523032
BI00B32W4    4500189218     2022041218018404040              CAVS 0.85 W              CCN000043000000043000FN00000000020220401000043000NNE   20220215154759W41 1W    00000100000000965000000000032W41   HJYHK-J 000000000000OW523043
BI00B32W4    4500189218     2022041218018404041              CAVS 0.85 GY             CCN000084000000084000FN00000000020220401000084000NNE   20220215154759W41 1W    00000100000000965000000000032W41   HJYHK-J 000000000000OW523035
BI00B32W4    4500189218     2022041218018404050              CAVS 0.85 R              CCN000081000000081000FN00000000020220401000081000NNE   20220215154759W41 1W    00000100000000965000000000032W41   HJYHK-J 000000000000OW523040
BI00B32W4    4500189218     2022041218018404051              CAVS 0.85 O              CCN000035000000035000FN00000000020220401000035000NNE   20220215154759W41 1W    00000100000000965000000000032W41   HJYHK-J 000000000000OW523038
BI00B32W4    4500189218     2022041218018404052              CAVS 0.85 P              CCN000028000000028000FN00000000020220401000028000NNE   20220215154759W41 1W    00000100000000965000000000032W41   HJYHK-J 000000000000OW523039
BI00B32W4    4500189218     2022041218018404060              CAVS 0.85 G              CCN000049000000049000FN00000000020220401000049000NNE   20220215154759W41 1W    00000100000000965000000000032W41   HJYHK-J 000000000000OW523034
BI00B32W4    4500189218     2022041218018404061              CAVS 0.85 LG             CCN000005000000005000FN00000000020220401000005000NNE   20220215154759W41 1W    00000100000000965000000000032W41   HJYHK-J 000000000000OW523037
BI00B32W4    4500189218     2022041218018404070              CAVS 0.85 Y              CCN000065000000065000FN00000000020220401000065000NNE   20220215154759W41 1W    00000100000000965000000000032W41   HJYHK-J 000000000000OW523044
BI00B32W4    4500189218     2022041218018404080              CAVS 0.85 BR             CCN000035000000035000FN00000000020220401000035000NNE   20220215154759W41 1W    00000100000000965000000000032W41   HJYHK-J 000000000000OW523033
BI00B32W4    4500189218     2022041218018404090              CAVS 0.85 L              CCN000007000000007000FN00000000020220401000007000NNE   20220215154759W41 1W    00000100000000965000000000032W41   HJYHK-J 000000000000OW523036
BI00B32W4    4500189218     2022041218018404091              CAVS 0.85 SB             CCN000045000000045000FN00000000020220401000045000NNE   20220215154759W41 1W    00000100000000965000000000032W41   HJYHK-J 000000000000OW523041
BI00B32W4    4500189218     2022041218018404092              CAVS 0.85 V              CCN000019000000019000FN00000000020220401000019000NNE   20220215154759W41 1W    00000100000000965000000000032W41   HJYHK-J 000000000000OW523042
BI00B32W4    4500189218     2022041218018404140              CAVS 1.25 W              CCN000015200000015200FN00000000020220401000015200NNE   20220215154759W41 1W    00000080000001378000000000032W41   HJYHK-J 000000000000OW523053
BI00B32W4    4500189218     2022041218018404170              CAVS 1.25 Y              CCN000016800000016800FN00000000020220401000016800NNE   20220215154759W41 1W    00000080000001378000000000032W41   HJYHK-J 000000000000OW523054
BI00B32W4    4500189218     2022041218018404130              CAVS 1.25 B              CCN000006400000006400FN00000000020220401000006400NNE   20220215154759W41 1W    00000080000001378000000000032W41   HJYHK-J 000000000000OW523045
BI00B32W4    4500189218     2022041218018404141              CAVS 1.25 GY             CCN000003200000003200FN00000000020220401000003200NNE   20220215154759W41 1W    00000080000001378000000000032W41   HJYHK-J 000000000000OW523047
BI00B32W4    4500189218     2022041218018404151              CAVS 1.25 O              CCN000003200000003200FN00000000020220401000003200NNE   20220215154759W41 1W    00000080000001378000000000032W41   HJYHK-J 000000000000OW523049
