BI00B1200    #2399T52516    202206167189-3033                HOUSING FEMALE           CCN000016000000016000FN00000000020220701000016000NNM   20220427152912    2F0F  0000016000000121120000143121200    YCYC    005500360039
BI00B1200    #2399T52514    202206027189-3034-30             HOUSING FEMALE           CCN000012800000012800FN00000000020220701000012800NNM   20220427152912    2F0F  0000016000000097280000119281200    YCYC    005500360039
BI00B1200    #2399T52515    202206097189-3034-30             HOUSING FEMALE           CCN000012800000012800FN00000000020220701000012800NNM   20220427152912    2F0F  0000016000000097280000119281200    YCYC    005500360039
BI00B1200    #2399T52516    202206167189-3034-30             HOUSING FEMALE           CCN000012800000012800FN00000000020220701000012800NNM   20220427152912    2F0F  0000016000000097280000119281200    YCYC    005500360039
BI00B1200    #2399T52514    202206027189-3036                HOUSING FEMALE           CCN000016000000016000FN00000000020220701000016000NNM   20220427152912    2F0F  0000016000000092160000114161200    YCYC    005500360039
BI00B1200    #2399T52515    202206097189-3036                HOUSING FEMALE           CCN000016000000016000FN00000000020220701000016000NNM   20220427152912    2F0F  0000016000000092160000114161200    YCYC    005500360039
BI00B1200    #2399T52516    202206167189-3036                HOUSING FEMALE           CCN000016000000016000FN00000000020220701000016000NNM   20220427152912    2F0F  0000016000000092160000114161200    YCYC    005500360039
BI00B1200    #2399T52514    202206027189-3036-30             HOUSING FEMALE           CCN000001600000001600FN00000000020220701000001600NNM   20220427152912    2F0F  0000016000000092000000114001200    YCYC    005500360039
BI00B1200    #2399T52515    202206097189-3036-30             HOUSING FEMALE           CCN000001600000001600FN00000000020220701000001600NNM   20220427152912    2F0F  0000016000000092000000114001200    YCYC    005500360039
BI00B1200    #2399T52516    202206167189-3036-30             HOUSING FEMALE           CCN000001600000001600FN00000000020220701000001600NNM   20220427152912    2F0F  0000016000000092000000114001200    YCYC    005500360039
BI00B1200    2399T52517     202206237195-0546-02             TERMINAL ALUMINIUM       CCN000025500000025500FN00000000020220701000025500NNM   20220427153012    4P0P  0000255000000040920000074491200    YCYC    006400630015
BI00B1200    2399T52518     202206307195-0546-02             TERMINAL ALUMINIUM       CCN000025500000025500FN00000000020220701000025500NNM   20220427153012    4P0P  0000255000000040920000074491200    YCYC    006400630015
BI00B1200    #2399T52517    202206237174-1314-30             SEALED COVER             CCN000008000000008000FN00000000020220701000008000NNM   20220427153001    2F0F  0000008000000076930000088931200    YCYC    005500360039
BI00B1200    #2399T52518    202206307174-1314-30             SEALED COVER             CCN000008000000008000FN00000000020220701000008000NNM   20220427153001    2F0F  0000008000000076930000088931200    YCYC    005500360039
BI00B1200    #2399T52517    202206237174-1315-30             SEALED COVER             CCN000008000000008000FN00000000020220701000008000NNM   20220427153001    2F0F  0000008000000078200000090201200    YCYC    005500360039
BI00B1200    #2399T52518    202206307174-1315-30             SEALED COVER             CCN000008000000008000FN00000000020220701000008000NNM   20220427153001    2F0F  0000008000000078200000090201200    YCYC    005500360039
BI00B1200    #2399T52517    202206237174-1515                FRONT DOOR COVER         CCN000004200000004200FN00000000020220701000004200NNM   20220427153001    2F0F  0000006000000049020000061021200    YCYC    005500360039
BI00B1200    #2399T52518    202206307174-1515                FRONT DOOR COVER         CCN000003600000003600FN00000000020220701000003600NNM   20220427153001    2F0F  0000006000000049020000061021200    YCYC    005500360039
BI00B1200    #2399T52517    202206237174-1760-50             CAP                      CCN000015000000015000FN00000000020220701000015000NNM   20220427153001    2F0F  0000030000000081360000092261200    YCYC    005400370024
BI00B1200    #2399T52518    202206307174-1760-50             CAP                      CCN000015000000015000FN00000000020220701000015000NNM   20220427153001    2F0F  0000030000000081360000092261200    YCYC    005400370024
BI00B1200    #2399T52517    202206237189-3033                HOUSING FEMALE           CCN000016000000016000FN00000000020220701000016000NNM   20220427153001    2F0F  0000016000000121120000143121200    YCYC    005500360039
BI00B1200    #2399T52518    202206307189-3033                HOUSING FEMALE           CCN000016000000016000FN00000000020220701000016000NNM   20220427153001    2F0F  0000016000000121120000143121200    YCYC    005500360039
BI00B1200    #2399T52517    202206237189-3034-30             HOUSING FEMALE           CCN000011200000011200FN00000000020220701000011200NNM   20220427153001    2F0F  0000016000000097280000119281200    YCYC    005500360039
BI00B1200    #2399T52518    202206307189-3034-30             HOUSING FEMALE           CCN000011200000011200FN00000000020220701000011200NNM   20220427153001    2F0F  0000016000000097280000119281200    YCYC    005500360039
BI00B1200    #2399T52517    202206237189-3036                HOUSING FEMALE           CCN000016000000016000FN00000000020220701000016000NNM   20220427153001    2F0F  0000016000000092160000114161200    YCYC    005500360039
BI00B1200    #2399T52518    202206307189-3036                HOUSING FEMALE           CCN000014400000014400FN00000000020220701000014400NNM   20220427153001    2F0F  0000016000000092160000114161200    YCYC    005500360039
BI00B1200    #2399T52517    202206237189-3036-30             HOUSING FEMALE           CCN000001600000001600FN00000000020220701000001600NNM   20220427153001    2F0F  0000016000000092000000114001200    YCYC    005500360039
BI00B1200    2399T52519     202206027196-0104-02             TERMINAL                 CCN000038000000038000FN00000000020220701000038000NNM   20220427153056    4P0P  0000380000000057000000095641200    YCYC    006400630017
BI00B1200    2399T52520     202206097196-0104-02             TERMINAL                 CCN000038000000038000FN00000000020220701000038000NNM   20220427153056    4P0P  0000380000000057000000095641200    YCYC    006400630017
BI00B1200    2399T52519     202206027196-0549-02             TERMINAL ALUMINIUM       CCN000038000000038000FN00000000020220701000038000NNM   20220427153056    4P0P  0000380000000059280000097921200    YCYC    006400630017
BI00B1200    2399T52519     202206027196-0550-02             TERMINAL ALUMINIUM       CCN000032000000032000FN00000000020220701000032000NNM   20220427153056    4P0P  0000320000000051520000090161200    YCYC    006400630017
BI00B1200    2399T52519     202206027196-0551-02             TERMINAL ALUMINIUM       CCN000028000000028000FN00000000020220701000028000NNM   20220427153056    4P0P  0000280000000046480000085121200    YCYC    006400630017
BI00B1200    2399T52519     202206027196-0648-02             TERMINAL                 CCN000120000000120000FN00000000020220701000120000NNM   20220427153056    4P0P  0000150000000035550000068971200    YCYC    006400630015
BI00B1200    2399T52520     202206097196-0648-02             TERMINAL                 CCN000120000000120000FN00000000020220701000120000NNM   20220427153056    4P0P  0000150000000035550000068971200    YCYC    006400630015
BI00B1200    2399T52521     202206167196-0648-02             TERMINAL                 CCN000105000000105000FN00000000020220701000105000NNM   20220427153056    4P0P  0000150000000035550000068971200    YCYC    006400630015
BI00B1200    2399T52519     202206027196-0805-02             TERMINAL FEMALE          CCN000225000000225000FN00000000020220701000225000NNM   20220427153056    4P0P  0000225000000055800000084321200    YCYC    006400630015
BI00B1200    2399T52520     202206097196-0805-02             TERMINAL FEMALE          CCN000225000000225000FN00000000020220701000225000NNM   20220427153056    4P0P  0000225000000055800000084321200    YCYC    006400630015
BI00B1200    2399T52521     202206167196-0805-02             TERMINAL FEMALE          CCN000202500000202500FN00000000020220701000202500NNM   20220427153056    4P0P  0000225000000055800000084321200    YCYC    006400630015
BI00B1200    2399T52519     202206027282-5574-10             CONNECTOR                CCN000001600000001600FN00000000020220701000001600NNM   20220427153056    4N0N  0000008000000123500000142301200    YCYC    005600390040
BI00B1200    2399T52520     202206097282-5574-10             CONNECTOR                CCN000000800000000800FN00000000020220701000000800NNM   20220427153056    4N0N  0000008000000123500000142301200    YCYC    005600390040
BI00B1200    2399T52521     202206167282-5574-10             CONNECTOR                CCN000000800000000800FN00000000020220701000000800NNM   20220427153056    4N0N  0000008000000123500000142301200    YCYC    005600390040
BI00B1200    2399T52519     202206027287-9323                UNSEALED HOUSING SUB     CCN000004800000004800FN00000000020220701000004800NNM   20220427153056    1N0N  0000024000000053760000069001200    YCYC    005600390023
BI00B1200    2399T52520     202206097287-9323                UNSEALED HOUSING SUB     CCN000004800000004800FN00000000020220701000004800NNM   20220427153056    1N0N  0000024000000053760000069001200    YCYC    005600390023
BI00B1200    2399T52521     202206167287-9323                UNSEALED HOUSING SUB     CCN000004800000004800FN00000000020220701000004800NNM   20220427153056    1N0N  0000024000000053760000069001200    YCYC    005600390023
BI00B1200    2399T52519     202206027287-9323-30             UNSEALED HOUSING SUB     CCN000002400000002400FN00000000020220701000002400NNM   20220427153056    1N0N  0000024000000053760000069001200    YCYC    005600390023
BI00B1200    2399T52520     202206097287-9323-30             UNSEALED HOUSING SUB     CCN000002400000002400FN00000000020220701000002400NNM   20220427153056    1N0N  0000024000000053760000069001200    YCYC    005600390023
BI00B1200    2399T52519     202206027288-3334-30             HOUSING MALE             CCN000001500000001500FN00000000020220701000001500NNM   20220427153056    4N0N  0000015000000086700000101201200    YCYC    005400370024
BI00B1200    2399T52520     202206097288-3334-30             HOUSING MALE             CCN000001500000001500FN00000000020220701000001500NNM   20220427153056    4N0N  0000015000000086700000101201200    YCYC    005400370024
BI00B1200    2399T52521     202206167288-3334-30             HOUSING MALE             CCN000001500000001500FN00000000020220701000001500NNM   20220427153056    4N0N  0000015000000086700000101201200    YCYC    005400370024
BI00B1200    2399T52519     202206027288-6598-70             HOUSING MALE ASS'Y       CCN000036000000036000FN00000000020220701000036000NNM   20220427153056    4N0N  0000014400000107420000142921200    YCYC    005500360039
BI00B1200    2399T52520     202206097288-6598-70             HOUSING MALE ASS'Y       CCN000036000000036000FN00000000020220701000036000NNM   20220427153056    4N0N  0000014400000107420000142921200    YCYC    005500360039
BI00B1200    2399T52521     202206167288-6598-70             HOUSING MALE ASS'Y       CCN000036000000036000FN00000000020220701000036000NNM   20220427153056    4N0N  0000014400000107420000142921200    YCYC    005500360039
BI00B1200    2399T52519     202206027288-7969                HYBRID MALE ASS'Y        CCN000006400000006400FN00000000020220701000006400NNM   20220427153056    1N0N  0000003200000087620000110171200    YCYC    005400370024
BI00B1200    2399T52520     202206097288-7969                HYBRID MALE ASS'Y        CCN000006080000006080FN00000000020220701000006080NNM   20220427153056    1N0N  0000003200000087620000110171200    YCYC    005400370024
BI00B1200    2399T52521     202206167288-7969                HYBRID MALE ASS'Y        CCN000006080000006080FN00000000020220701000006080NNM   20220427153056    1N0N  0000003200000087620000110171200    YCYC    005400370024
BI00B1200    2399T52519     202206027289-0269                HOUSING SUB ASSEMBLY     CCN000016000000016000FN00000000020220701000016000NNM   20220427153056    1N0N  0000016000000100210000123451200    YCYC    005500360039
BI00B1200    2399T52520     202206097289-0269                HOUSING SUB ASSEMBLY     CCN000016000000016000FN00000000020220701000016000NNM   20220427153056    1N0N  0000016000000100210000123451200    YCYC    005500360039
BI00B1200    2399T52521     202206167289-0269                HOUSING SUB ASSEMBLY     CCN000016000000016000FN00000000020220701000016000NNM   20220427153056    1N0N  0000016000000100210000123451200    YCYC    005500360039
BI00B1200    2399T52519     202206027289-3342                HOUSING FEMALE ASS'Y     CCN000002400000002400FN00000000020220701000002400NNM   20220427153056    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00B1200    2399T52520     202206097289-3342                HOUSING FEMALE ASS'Y     CCN000002400000002400FN00000000020220701000002400NNM   20220427153056    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00B1200    2399T52521     202206167289-3342                HOUSING FEMALE ASS'Y     CCN000002400000002400FN00000000020220701000002400NNM   20220427153056    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00B1200    #2399T52519    202206027198-1371-60             HOUSING FEMALE           CCN000002000000002000FN00000000020220701000002000NNM   20220427153054    2F0F  0000020000000059780000072121200    YCYC    005400370024
BI00B1200    #2399T52519    202206027198-1373-60             HOUSING FEMALE           CCN000008000000008000FN00000000020220701000008000NNM   20220427153054    2F0F  0000020000000081940000094741200    YCYC    005400370024
