BI00B1200    2399T51815     202111257289-5979-30             HOUSING FEMALE ASS'Y     CCN000014616000008820FN00000000020211001000008820NNM00020211124150506    1N0N  0000002520000085470000106471200    YCYC    005400370024
BI00A1200    7242T51907     202112027289-3342-40             HOUSING FEMALE ASS'Y     CCN000024000000009600FN00000000020211001000009600NNE00020211124175127    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00A1200    2399T51815     202111237289-5979-30             HOUSING FEMALE ASS'Y     PCN000008820000002520FY00000252020211001000000000NNMM0020211124150506    1N0N  0000002520000085470000106471200    YCYC    005400370024
BI00A1200    2399T51815     202111267289-5979-30             HOUSING FEMALE ASS'Y     PCN000002520000002772FN00000000020211001000002772NNMM0020211124150506    1N0N  0000002520000085470000106471200    YCYC    005400370024
BI00A1200    2399T51813     202111267289-5979-30             HOUSING FEMALE ASS'Y     PCN000007560000001260FN00000000020211001000001260NNMD0220211124150620    1N0N  0000002520000085470000106471200    YCYC    005400370024
BI00B1200    2399T51C17     202201137288-3339-30             HOUSING MALE             CCN000004500000004500FN00000000020220101000004500NNM   20211124122808    4N0N  0000015000000086700000101201200    YCYC    005400370024
BI00B1200    2399T51C15     202112237288-6547                CONNECTOR MALE ASS'Y     CCN000240000000240000FN00000000020220101000240000NNM   20211124122808    4N0N  0000007500000120530000134031200    YCYC    005400370024
BI00B1200    2399T51C16     202201067288-6547                CONNECTOR MALE ASS'Y     CCN000240000000240000FN00000000020220101000240000NNM   20211124122808    4N0N  0000007500000120530000134031200    YCYC    005400370024
BI00B1200    2399T51C17     202201137288-6547                CONNECTOR MALE ASS'Y     CCN000240000000240000FN00000000020220101000240000NNM   20211124122808    4N0N  0000007500000120530000134031200    YCYC    005400370024
BI00B1200    2399T51C15     202112237288-6598-70             HOUSING MALE ASS'Y       CCN000017280000017280FN00000000020220101000017280NNM   20211124122808    4N0N  0000014400000107420000142921200    YCYC    005500360039
BI00B1200    2399T51C16     202201067288-6598-70             HOUSING MALE ASS'Y       CCN000015840000015840FN00000000020220101000015840NNM   20211124122808    4N0N  0000014400000107420000142921200    YCYC    005500360039
BI00B1200    2399T51C17     202201137288-6598-70             HOUSING MALE ASS'Y       CCN000015840000015840FN00000000020220101000015840NNM   20211124122808    4N0N  0000014400000107420000142921200    YCYC    005500360039
BI00B1200    2399T51C15     202112237288-7969                HYBRID MALE ASS'Y        CCN000000320000000320FN00000000020220101000000320NNM   20211124122808    1N0N  0000003200000087620000110171200    YCYC    005400370024
BI00B1200    2399T51C16     202201067288-7969                HYBRID MALE ASS'Y        CCN000000320000000320FN00000000020220101000000320NNM   20211124122808    1N0N  0000003200000087620000110171200    YCYC    005400370024
BI00B1200    2399T51C17     202201137288-7969                HYBRID MALE ASS'Y        CCN000000320000000320FN00000000020220101000000320NNM   20211124122808    1N0N  0000003200000087620000110171200    YCYC    005400370024
