BI00A32AF    @TTB108D       20211208181AD2004ZZ              CIVUSAS-S 0.35X4 B       PCN000004800000004800FN00000000020210801000004800NNE25 20211204111957    1W    00000030000002784000000000032AF    HBYHVTB 000000000000UT118018
BI00B32D9    C20602         202201061801W004052              IVSSH 0.75F P            CCN000001300000001300FN00000000020220201000001300NNM   20211204100556    1W    00000130000000882000000000032D9    UEHESTO 000000000000HT31C069
BI00B32D9    C20802         202201201801W004052              IVSSH 0.75F P            CCN000001300000001300FN00000000020220201000001300NNM   20211204100556    1W    00000130000000882000000000032D9    UEHESTO 000000000000HT121026
BI00B32D9    C20602         202201061801W004060              IVSSH 0.75F G            CCN000001300000001300FN00000000020220201000001300NNM   20211204100556    1W    00000130000000882000000000032D9    UEHESTO 000000000000HT31C067
BI00B32D9    C20802         202201201801W004060              IVSSH 0.75F G            CCN000001300000001300FN00000000020220201000001300NNM   20211204100556    1W    00000130000000882000000000032D9    UEHESTO 000000000000HT121025
BI00B32D9    C20602         202201061801W004070              IVSSH 0.75F Y            CCN000001300000001300FN00000000020220201000001300NNM   20211204100556    1W    00000130000000882000000000032D9    UEHESTO 000000000000HT31C072
BI00B32D9    C20802         202201201801W004070              IVSSH 0.75F Y            CCN000001300000001300FN00000000020220201000001300NNM   20211204100556    1W    00000130000000882000000000032D9    UEHESTO 000000000000HT121029
BI00B32D9    C20902         202201271801W004080              IVSSH 0.75F BR           CCN000001300000001300FN00000000020220201000001300NNM   20211204100556    1W    00000130000000882000000000032D9    UEHESTO 000000000000HT221035
BI00B32D9    C20602         202201061801W004090              IVSSH 0.75F L            CCN000001300000001300FN00000000020220201000001300NNM   20211204100556    1W    00000130000000882000000000032D9    UEHESTO 000000000000HT31C068
BI00B32D9    C20602         202201061801W006930              IVSSH 0.35F B            CCN000002500000002500FN00000000020220201000002500NNM   20211204100556    1W    00000250000000452000000000032D9    UEHESTO 000000000000HT31C073
BI00B32D9    C20702         202201131801W006930              IVSSH 0.35F B            CCN000002500000002500FN00000000020220201000002500NNM   20211204100556    1W    00000250000000452000000000032D9    UEHESTO 000000000000HT41C128
BI00B32D9    C20802         202201201801W006930              IVSSH 0.35F B            CCN000002500000002500FN00000000020220201000002500NNM   20211204100556    1W    00000250000000452000000000032D9    UEHESTO 000000000000HT121030
BI00B32D9    C20902         202201271801W006930              IVSSH 0.35F B            CCN000002500000002500FN00000000020220201000002500NNM   20211204100556    1W    00000250000000452000000000032D9    UEHESTO 000000000000HT221037
BI00B32D9    C20802         202201201801W006940              IVSSH 0.35F W            CCN000002500000002500FN00000000020220201000002500NNM   20211204100556    1W    00000250000000452000000000032D9    UEHESTO 000000000000HT121038
BI00B32D9    C20902         202201271801W006940              IVSSH 0.35F W            CCN000002500000002500FN00000000020220201000002500NNM   20211204100556    1W    00000250000000452000000000032D9    UEHESTO 000000000000HT221046
BI00B32D9    C20602         202201061801W006941              IVSSH 0.35F GY           CCN000002500000002500FN00000000020220201000002500NNM   20211204100556    1W    00000250000000452000000000032D9    UEHESTO 000000000000HT31C075
BI00B32D9    C20702         202201131801W006941              IVSSH 0.35F GY           CCN000002500000002500FN00000000020220201000002500NNM   20211204100556    1W    00000250000000452000000000032D9    UEHESTO 000000000000HT41C130
