BI00A32AF    @TTB201A       20211207181E48065ZZ              CAVSAS-S 0.5X4 GY/W      CCN000000600000000600FN00000000020220101000000600NNE21 20211203130310    1W    00000020000004425000000000032AF    HBYHVTB 000000000000UW51B003
BI00B32AF    @TTB2025       20211210181E48061ZZ              CAVSAS-S 0.5X2 W/L       CCN000000300000000300FN00000000020220201000000300NNM20 20211203114945    1W    00000030000002493000000000032AF    HBYHVTB 000000000000UZ41C085
BI00B32AF    @TTB201B       20211210181E48065ZZ              CAVSAS-S 0.5X4 GY/W      CCN000000400000000400FN00000000020220101000000400NNE20 20211203130420    1W    00000020000004425000000000032AF    HBYHVTB 000000000000UT11C002
BI00A32DJ    GHT2201-2      2021120318007704140              AVSS 1.25F W             CCN000001600000001600FN00000000020211201000001600NNM20 20211203082525    1W    00000080000001389000000000032DJ    RBYIPLRB000000000000XH41B026
BI00A32DJ    GHT2201-2      20211203180T8403952              ACCAVS 0.5 P             CCN000003000000003000FN00000000020211201000003000NNM20 20211203082525    1W    00000150000000674300000000032DJ    RBYIPLRB000000000000XH41B020
BI00A32DJ    GHT2201-2      20211203180T8403980              ACCAVS 0.5 BR            CCN000000020000001500FN00000000020211201000001500NNM20 20211203082525    1W    00000150000000674300000000032DJ    RBYIPLRB000000000000XH41B017
BI00B32N3    NBT202-3       2022011318007704143              AVSS 1.25F W/B           CCN000002400000002400FN00000000020220101000002400NNM   20211203094652    1W    00000080000001389000000000032N3    ABYIPL-B000000000000XA41C030
BI00B32N3    NBT202-4       2022012018007704143              AVSS 1.25F W/B           CCN000001600000001600FN00000000020220101000001600NNM   20211203094652    1W    00000080000001389000000000032N3    ABYIPL-B000000000000XA41C052
BI00B32N3    NBT202-1       2021123018007704160              AVSS 1.25F G             CCN000001600000001600FN00000000020220101000001600NNM   20211203094652    1W    00000080000001389000000000032N3    ABYIPL-B000000000000XA21C025
BI00B32N3    NBT202-3       2022011318007704160              AVSS 1.25F G             CCN000001600000001600FN00000000020220101000001600NNM   20211203094652    1W    00000080000001389000000000032N3    ABYIPL-B000000000000XA41C027
BI00B32N3    NBT202-4       2022012018007704160              AVSS 1.25F G             CCN000000800000000800FN00000000020220101000000800NNM   20211203094652    1W    00000080000001389000000000032N3    ABYIPL-B000000000000XA41C049
BI00B32N3    NBT202-1       2021123018007704190              AVSS 1.25F L             CCN000001600000001600FN00000000020220101000001600NNM   20211203094652    1W    00000080000001389000000000032N3    ABYIPL-B000000000000XA21C026
BI00B32N3    NBT202-2       2022010618007704190              AVSS 1.25F L             CCN000000800000000800FN00000000020220101000000800NNM   20211203094652    1W    00000080000001389000000000032N3    ABYIPL-B000000000000XA31C008
BI00B32N3    NBT202-3       2022011318007704190              AVSS 1.25F L             CCN000000800000000800FN00000000020220101000000800NNM   20211203094652    1W    00000080000001389000000000032N3    ABYIPL-B000000000000XA41C028
BI00B32N3    NBT202-4       2022012018007704190              AVSS 1.25F L             CCN000000800000000800FN00000000020220101000000800NNM   20211203094652    1W    00000080000001389000000000032N3    ABYIPL-B000000000000XA41C050
BI00B32N3    NBT202-1       20211230180D0203930              AVSSH 0.5F B             CCN000001500000001500FN00000000020220101000001500NNM   20211203094652    1W    00000150000000689000000000032N3    ABYIPL-B000000000000XA21C022
BI00B32N3    NBT202-2       20220106180D0203930              AVSSH 0.5F B             CCN000003000000003000FN00000000020220101000003000NNM   20211203094652    1W    00000150000000689000000000032N3    ABYIPL-B000000000000XA31C002
BI00B32N3    NBT202-4       20220120180D0203930              AVSSH 0.5F B             CCN000003000000003000FN00000000020220101000003000NNM   20211203094652    1W    00000150000000689000000000032N3    ABYIPL-B000000000000XA41C043
BI00B32N3    NBT202-2       20220106180D0203940              AVSSH 0.5F W             CCN000003000000003000FN00000000020220101000003000NNM   20211203094652    1W    00000150000000689000000000032N3    ABYIPL-B000000000000XA31C005
BI00B32N3    NBT202-4       20220120180D0203940              AVSSH 0.5F W             CCN000003000000003000FN00000000020220101000003000NNM   20211203094652    1W    00000150000000689000000000032N3    ABYIPL-B000000000000XA41C046
