BI00B1200    2399T52319     202204287289-7212-30             HOUSING FEMALE ASS'Y     CCN000008880000000000FY00000000020220501000000000NNMQ0820220401101049    4N0N  0000002400000138840000159341200    YCYC    005500360039
BI00B32AF    JTB2061        202205137114-5746-02             TERMINAL                 CCN000042000000042000FN00000000020220601000042000NNM   20220401175146    4P0P  00002100000000695100000988732AF    HBYHVTB 006400630015
BI00B32AF    JTB2062        202205207114-5746-02             TERMINAL                 CCN000042000000042000FN00000000020220601000042000NNM   20220401175146    4P0P  00002100000000695100000988732AF    HBYHVTB 006400630015
BI00B32AF    JTB2063        202205277114-5746-02             TERMINAL                 CCN000063000000063000FN00000000020220601000063000NNM   20220401175146    4P0P  00002100000000695100000988732AF    HBYHVTB 006400630015
BI00B32AF    JTB2064        202206037114-5746-02             TERMINAL                 CCN000084000000084000FN00000000020220601000084000NNM   20220401175146    4P0P  00002100000000695100000988732AF    HBYHVTB 006400630015
BI00B32AF    JTB2062        202205207114-5747-02             TERMINAL                 CCN000090000000090000FN00000000020220601000090000NNM   20220401175146    4P0P  00001800000000626400000920032AF    HBYHVTB 006400630015
BI00B32AF    JTB2063        202205277114-5747-02             TERMINAL                 CCN000252000000252000FN00000000020220601000252000NNM   20220401175146    4P0P  00001800000000626400000920032AF    HBYHVTB 006400630015
BI00B32AF    JTB2064        202206037114-5747-02             TERMINAL                 CCN000252000000252000FN00000000020220601000252000NNM   20220401175146    4P0P  00001800000000626400000920032AF    HBYHVTB 006400630015
BI00B32AF    JTB2062        202205207114-5748-02             TERMINAL                 CCN000084000000084000FN00000000020220601000084000NNM   20220401175146    4P0P  00001200000000444000000737632AF    HBYHVTB 006400630015
BI00B32AF    JTB2063        202205277114-5748-02             TERMINAL                 CCN000108000000108000FN00000000020220601000108000NNM   20220401175146    4P0P  00001200000000444000000737632AF    HBYHVTB 006400630015
BI00B32AF    JTB2064        202206037114-5748-02             TERMINAL                 CCN000108000000108000FN00000000020220601000108000NNM   20220401175146    4P0P  00001200000000444000000737632AF    HBYHVTB 006400630015
BI00B32AF    JTB2062        202205207114-5753-02             TERMINAL                 CCN000081000000081000FN00000000020220601000081000NNM   20220401175146    4P0P  00002700000000847800001141432AF    HBYHVTB 006400630015
BI00B32AF    JTB2063        202205277114-5753-02             TERMINAL                 CCN000135000000135000FN00000000020220601000135000NNM   20220401175146    4P0P  00002700000000847800001141432AF    HBYHVTB 006400630015
BI00B32AF    JTB2064        202206037114-5753-02             TERMINAL                 CCN000108000000108000FN00000000020220601000108000NNM   20220401175146    4P0P  00002700000000847800001141432AF    HBYHVTB 006400630015
BI00B32AF    JTB2063        202205277116-1180                TERMINAL                 CCN000019500000019500FN00000000020220601000019500NNM   20220401175146    1P0P  00001950000000618200000903432AF    HBYHVTB 006400630015
BI00B32AF    JTB2061        202205137116-2891-02             TERMINAL                 CCN000030000000030000FN00000000020220601000030000NNM   20220401175146    4P0P  00001500000000982500001145932AF    HBYHVTB 005100280028
BI00B32AF    JTB2062        202205207116-2891-02             TERMINAL                 CCN000015000000015000FN00000000020220601000015000NNM   20220401175146    4P0P  00001500000000982500001145932AF    HBYHVTB 005100280028
BI00B32AF    JTB2063        202205277116-2891-02             TERMINAL                 CCN000015000000015000FN00000000020220601000015000NNM   20220401175146    4P0P  00001500000000982500001145932AF    HBYHVTB 005100280028
BI00B32AF    JTB2061        202205137116-2892-02             TERMINAL                 CCN000012000000012000FN00000000020220601000012000NNM   20220401175146    4P0P  00001200000000818400000981832AF    HBYHVTB 005100280028
BI00B32AF    JTB2061        202205137116-3153-08             TERMINAL                 CCN000027000000027000FN00000000020220601000027000NNM   20220401175146    4P0P  00002700000000461700000746932AF    HBYHVTB 006400630015
BI00B32AF    JTB2062        202205207116-3153-08             TERMINAL                 CCN000054000000054000FN00000000020220601000054000NNM   20220401175146    4P0P  00002700000000461700000746932AF    HBYHVTB 006400630015
BI00B32AF    JTB2063        202205277116-3153-08             TERMINAL                 CCN000027000000027000FN00000000020220601000027000NNM   20220401175146    4P0P  00002700000000461700000746932AF    HBYHVTB 006400630015
BI00B32AF    JTB2064        202206037116-3153-08             TERMINAL                 CCN000027000000027000FN00000000020220601000027000NNM   20220401175146    4P0P  00002700000000461700000746932AF    HBYHVTB 006400630015
BI00B32AF    JTB2061        202205137116-3154-08             TERMINAL                 CCN000027000000027000FN00000000020220601000027000NNM   20220401175146    4P0P  00002700000000475200000760432AF    HBYHVTB 006400630015
BI00B32AF    JTB2062        202205207116-3154-08             TERMINAL                 CCN000027000000027000FN00000000020220601000027000NNM   20220401175146    4P0P  00002700000000475200000760432AF    HBYHVTB 006400630015
BI00B32AF    JTB2063        202205277116-3154-08             TERMINAL                 CCN000027000000027000FN00000000020220601000027000NNM   20220401175146    4P0P  00002700000000475200000760432AF    HBYHVTB 006400630015
BI00B32AF    JTB2064        202206037116-3154-08             TERMINAL                 CCN000027000000027000FN00000000020220601000027000NNM   20220401175146    4P0P  00002700000000475200000760432AF    HBYHVTB 006400630015
BI00B32AF    JTB2062        202205207116-4022                TERMINAL                 CCN000013500000013500FN00000000020220601000013500NNM   20220401175146    4P0P  00001350000000618300000903532AF    HBYHVTB 006400630015
BI00B32AF    JTB2064        202206037116-4025                TERMINAL                 CCN000016000000016000FN00000000020220601000016000NNM   20220401175146    4P0P  00001600000000644800000975132AF    HBYHVTB 006400630017
BI00B32AF    JTB2063        202205277116-4026                TERMINAL                 CCN000016000000016000FN00000000020220601000016000NNM   20220401175146    4P0P  00001600000000664000000994332AF    HBYHVTB 006400630017
BI00B32AF    JTB2063        202205277116-4031                TERMINAL                 CCN000022500000022500FN00000000020220601000022500NNM   20220401175146    4P0P  00000750000000619500000904732AF    HBYHVTB 006400630015
