BI00B32J1    @390633        20220214181E48013ZZ              CAVSAS-S 0.3X3 GY        CCN000000500000000000FY00000000020220201000000000NNE10 20220131093800    1W    00000025000002778200000000032J1    UKYEL-BL000000000000KG122009
BI00B32J1    @390633        20220214181E48015ZZ              CAVSAS-S 0.5X1 GY        CCN000001600000000000FY00000000020220201000000000NNE10 20220131093800    1W    00000040000001900600000000032J1    UKYEL-BL000000000000KG122006
BI00B32W9    4500188305     2022030118018404049              CAVS 0.85 W/L            CCN000001000000001000FN00000000020220301000001000NNE   20220131151444W93 1W    00000100000000965000000000032W93   HKYHK   000000000000ZK322103
BI00B32W9    4500188305     2022030118018404073              CAVS 0.85 Y/B            CCN000001000000001000FN00000000020220301000001000NNE   20220131151444W93 1W    00000100000000965000000000032W93   HKYHK   000000000000ZK322106
BI00B32W9    4500188305     2022030118018404069              CAVS 0.85 G/L            CCN000001000000001000FN00000000020220301000001000NNE   20220131151444W93 1W    00000100000000965000000000032W93   HKYHK   000000000000ZK322089
BI00B32W9    4500188305     2022030118018404065              CAVS 0.85 G/R            CCN000001000000001000FN00000000020220301000001000NNE   20220131151444W93 1W    00000100000000965000000000032W93   HKYHK   000000000000ZK322090
BI00B32W9    4500188305     2022030118018404064              CAVS 0.85 G/W            CCN000002000000002000FN00000000020220301000002000NNE   20220131151444W93 1W    00000100000000965000000000032W93   HKYHK   000000000000ZK322091
BI00B32W9    4500188305     2022030118018404017              CAVS 0.85 LG/B           CCN000001000000001000FN00000000020220301000001000NNE   20220131151444W93 1W    00000100000000965000000000032W93   HKYHK   000000000000ZK322094
BI00B32W9    4500188305     2022030118018404059              CAVS 0.85 R/L            CCN000001000000001000FN00000000020220301000001000NNE   20220131151444W93 1W    00000100000000965000000000032W93   HKYHK   000000000000ZK322099
BI00B32W9    4500188305     2022030118018404045              CAVS 0.85 W/R            CCN000001000000001000FN00000000020220301000001000NNE   20220131151444W93 1W    00000100000000965000000000032W93   HKYHK   000000000000ZK322104
BI00B32W9    4500188305     2022030118018404164              CAVS 1.25 G/W            CCN000000800000000800FN00000000020220301000000800NNE   20220131151444W93 1W    00000080000001378000000000032W93   HKYHK   000000000000ZK322108
BI00B32W9    4500188305     2022030118018404041              CAVS 0.85 GY             CCN000001000000001000FN00000000020220301000001000NNE   20220131151444W93 1W    00000100000000965000000000032W93   HKYHK   000000000000ZK322092
BI00B32W9    4500188305     2022030118018404151              CAVS 1.25 O              CCN000000800000000800FN00000000020220301000000800NNE   20220131151444W93 1W    00000080000001378000000000032W93   HKYHK   000000000000ZK322111
BI00B32W9    4500188305     2022030118018404051              CAVS 0.85 O              CCN000001000000001000FN00000000020220301000001000NNE   20220131151444W93 1W    00000100000000965000000000032W93   HKYHK   000000000000ZK322095
BI00B32W9    4500188305     2022030118018403797              CAVS 0.3 L/Y             CCN000002000000002000FN00000000020220301000002000NNE   20220131151444W93 1W    00000200000000471000000000032W93   HKYHK   000000000000ZK322039
BI00B32W9    4500188305     2022030118018403791              CAVS 0.3 SB              CCN000002000000002000FN00000000020220301000002000NNE   20220131151444W93 1W    00000200000000471000000000032W93   HKYHK   000000000000ZK322044
BI00B32W9    4500188305     2022030118018404063              CAVS 0.85 G/B            CCN000002000000002000FN00000000020220301000002000NNE   20220131151444W93 1W    00000100000000965000000000032W93   HKYHK   000000000000ZK322088
BI00B32W9    4500188305     2022030118018404036              CAVS 0.85 B/G            CCN000001000000001000FN00000000020220301000001000NNE   20220131151444W93 1W    00000100000000965000000000032W93   HKYHK   000000000000ZK322085
